name,logAge,logMass
vdBergh-Hagen_110,8.0,1.0606978403536116
FSR_1666,8.15,2.1055101847699738
Loden_1256,8.58,2.964
Ruprecht_93,8.755,2.101
Hogg_17,8.15,1.8779469516291882
Collinder_272,7.02,3.156
Lynga_2,8.43,2.2030000000000003
DBSB_62,6.9,1.3521825181113625
Loden_481,8.385,3.432
Ruprecht_161,8.45,2.85
Shorlin_2,6.0,0.7403626894942439
NGC_4103,7.755,3.072
Shorlin_1,6.5,1.2787536009528289
Hogg_16,7.95,1.456
Alessi_5,7.765,1.568
Trumpler_22,8.495,2.34
Ruprecht_95,8.495,1.3222192947339193
ASCC_65,6.85,4.457
Collinder_236,8.45,2.019
Loden_306,6.76,3.3689999999999998
NGC_2609,8.48,1.0791812460476249
ESO_129-32,8.6,1.4548448600085102
ASCC_67,7.67,2.9389999999999996
Hogg_8,8.9,1.3521825181113625
NGC_5168,8.25,2.616
ASCC_72,8.205,2.983
Hogg_23,8.31,2.0709999999999997
ASCC_68,8.6,1.656
ASCC_64,8.1,2.7889999999999997
Pismis_19,9.015,1.7363965022766426
NGC_3590,7.4,2.832
Hogg_12,7.6,1.5378190950732742
NGC_2516,8.475,2.396
Ruprecht_164,7.7,1.6230000000000002
Hogg_7,6.0,1.1613680022349748
ASCC_84,7.85,2.293
MWSC_4486,9.3,1.5118833609788744
NGC_5617,8.25,2.7319999999999998
Teutsch_143a,6.6,1.667452952889954
Loden_402,8.4,3.517
Loden_172,8.0,1.7323937598229686
Loden_565,8.375,1.8769999999999998
Loden_682,8.47,1.858
NGC_3255,9.05,1.414973347970818
Trumpler_18,7.69,2.316
Trumpler_20,9.325,2.3820170425748683
ASCC_79,6.95,3.367
Loden_309,8.05,0.9129999999999999
Hogg_6,8.505,1.939
Teutsch_80,7.75,2.095169351431755
DBSB_87,8.0,1.3222192947339193
Ruprecht_104,8.89,1.6074550232146685
ASCC_63,7.25,3.775
Ruprecht_159,9.2,1.667452952889954
Hogg_11,6.99,1.3117538610557542
Hogg_10,6.785,1.4913616938342726
DBSB_136,6.0,1.667452952889954
FSR_1686,8.5,1.5622928644564746
ESO_123-26,8.53,1.755
NGC_3496,8.895,2.298
Trumpler_12,9.205,2.109
NGC_3572,6.925,2.6310000000000002
Hogg_13,8.65,1.130333768495006
Sher_1,6.715,0.6989700043360189
Loden_1010,8.825,2.3080000000000003
MWSC_4408,8.495,1.6127838567197355
Collinder_275,8.6,1.7403626894942439
FSR_1663,8.15,1.7817553746524688
Trumpler_13,8.825,1.7323937598229686
Bochum_9,8.09,1.8230000000000002
ASCC_80,8.375,3.31
NGC_3114,8.3,3.159
NGC_4439,7.71,1.288
FSR_1721,9.3,1.6434526764861874
ASCC_62,6.995,4.428999999999999
Bochum_11,6.0,1.0
NGC_5043,8.6,2.12
FSR_1680,8.59,1.7160033436347992
MWSC_5723,9.13,1.3617278360175928
Ruprecht_111,8.92,1.9708116108725178
MWSC_4116,9.125,1.5622928644564746
NGC_5299,8.7,1.841984804590114
NGC_2132,9.045,1.414973347970818
