#Diameters of Open Star Clusters
#
#van den Bergh S., 2006, Astron. J. 131, 1559 (2006AJ....131.1559V)
#
#Column contents:
#
#Name : cluster designation
#diameter : Cluster diameter in [pc]
#dist : Distance in [pc]
#Z : Distance from the galactic plane in [pc]
#EBV : Colour exces E(B-V) -- NOTE: some are missing this column, and not well separated below
#logt : logarithm of the age
#
#Name	diameter	dist	Z	EBV	logt
#
NGC_1912	6.20	1066	13	0.25	8.46
NGC_1931	4.49	3086	15	0.74	7.00
NGC_1960	3.83	1318	25	0.22	7.47
NGC_1976	5.45	399	-132	0.05	7.11
NGC_2099	5.63	1383	75	0.30	8.54
NGC_2112	4.45	850	-186	0.63	9.30
NGC_2129	2.20	1515	1	0.65	7.32
NGC_2141	11.73	4033	-408	0.25	9.23
NGC_2158	7.38	5071	158	0.36	9.02
NGC_2168	5.93	816	32	0.26	7.98
NGC_2169	1.53	1052	-54	0.20	7.07
NGC_2175	2.37	1627	14	0.60	6.95
NGC_2186	2.10	1445	-156	0.27	7.74
NGC_2194	9.90	3781	-155	0.38	8.52
NGC_2204	7.65	2629	-729	0.08	8.90
NGC_2215	2.63	1293	-227	0.30	8.37
NGC_2232	4.70	359	-46	0.03	7.73
NGC_2236	5.97	2930	-87	0.48	8.54
NGC_2243	6.48	4458	-1379	0.05	9.03
NGC_2244	12.19	1445	-52	0.46	6.90
NGC_2251	3.87	1329	2	0.19	8.43
NGC_2254	3.44	2364	2	0.40	8.31
NGC_2259	2.89	3311	120	0.59	8.50
NGC_2264	7.57	667	26	0.05	6.95
NGC_2266	4.95	3400	608	0.10	8.80
NGC_2269	1.47	1687	9	0.40	8.42
NGC_2281	4.06	558	162	0.06	8.55
NGC_2286	11.80	2897	-115	0.17	8.88
NGC_2287	7.86	693	-126	0.03	8.38
NGC_2301	3.55	872	4	0.03	8.22
NGC_2302	1.72	1182	-64	0.21	7.85
NGC_2304	3.48	3991	617	0.10	8.90
NGC_2309	3.65	2511	-98	0.35	8.40
NGC_2311	4.00	2290	-28	0.33	8.60
NGC_2323	3.78	929	-22	0.21	8.10
NGC_2324	7.75	3805	219	0.13	8.63
NGC_2335	2.47	1417	-29	0.39	8.21
NGC_2343	1.54	1056	-22	0.12	7.10
NGC_2345	7.86	2251	-91	0.62	7.85
NGC_2353	5.86	1119	8	0.07	7.97
NGC_2354	21.39	4085	-483	0.31	8.13
NGC_2355	4.48	2200	450	0.12	8.85
NGC_2360	7.14	1887	-47	0.11	8.75
NGC_2362	2.02	1389	-134	0.10	6.91
NGC_2367	2.91	2004	-134	0.33	6.74
NGC_2374	5.12	1468	26	0.09	8.46
NGC_2383	2.41	1655	-71	0.21	7.17
NGC_2384	3.08	2116	-88	0.26	6.90
