COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
240,vdBergh-Hagen_91,284.03,-1.6,9.594,0.08,740,8.21,,,,,4.8,1.3,1.6380000000000001,0.354,vdBergh-Hagen_91
241,NGC_3228,280.69,4.54,8.584,0.03,499,8.43,,,,,2.6,0.6,0.8320000000000001,0.301,NGC_3228
242,Loden_46,282.6,2.07,9.096,0.14,540,9.03,8.6,4.2,2.386,0.636,6.9,1.1,2.1,0.217,Loden_46
243,IC_2581,284.59,0.02,13.337,0.45,2446,7.22,,,,,17.6,4.9,3.3310000000000004,0.365,IC_2581
244,Ruprecht_89,284.97,-0.34,9.499,0.04,750,8.98,,,,,3.5,0.9,1.232,0.337,C_1026-579
245,Loden_143,285.3,-0.89,9.201,0.1,600,8.45,,,,,10.1,1.7,2.595,0.222,Loden_143
246,Loden_89,284.35,0.87,8.054,0.05,380,8.47,,,,,4.5,0.8,1.551,0.228,Loden_89
247,Loden_59,283.08,3.28,9.127,0.02,650,8.45,,,,,4.4,1.2,1.5119999999999998,0.35,Loden_59
248,Collinder_223,286.05,-1.65,11.692,0.18,1686,8.41,,,,,12.6,3.8,2.9019999999999997,0.39,Collinder_223
249,Ruprecht_90,285.4,-0.2,14.883,0.32,6000,7.1,,,,,62.2,13.7,4.896,0.29,Ruprecht_90
250,Loden_112,284.68,1.17,13.85,0.6,2500,6.96,,,,,19.3,7.5,3.4560000000000004,0.508,Loden_112
251,Loden_153,285.67,0.09,13.001,0.28,2670,6.74,,,,,15.6,5.2,3.181,0.43799999999999994,Loden_153
252,Bochum_9,286.78,-1.57,9.597000000000001,0.11,710,8.38,,,,,5.6,0.9,1.8230000000000002,0.226,C_1033-598
253,NGC_3293,285.85,0.07,12.739,0.25,2471,6.94,,,,,7.8,1.8,2.28,0.301,NGC_3293
254,NGC_3324,286.22,-0.19,13.235999999999999,0.46,2301,6.72,,,,,18.8,6.4,3.427,0.44299999999999995,NGC_3324
255,vdBergh-Hagen_99,286.52,-0.58,8.811,0.06,531,7.86,,,,,6.3,1.0,1.984,0.207,vdBergh-Hagen_99
256,NGC_3330,284.19,3.86,9.912,0.05,894,8.3,,,,,6.0,1.2,1.911,0.258,NGC_3330
257,ESO_062-11,291.5,-9.15,11.097000000000001,0.42,910,8.53,,,,,2.7,1.0,0.9159999999999999,0.45399999999999996,ESO_62-11
258,Melotte_101,289.86,-5.56,12.925999999999998,0.46,1995,8.35,16.3,13.2,3.255,1.056,16.4,3.2,3.262,0.258,Cl_Melotte_101
259,IC_2602,289.54,-4.94,6.114,0.03,160,7.83,13.9,1.4,3.005,0.134,12.2,0.9,2.8289999999999997,0.109,IC_2602
260,Bochum_10,287.04,-0.3,12.464,0.3,2027,6.93,,,,,17.6,3.5,3.345,0.258,Bochum_10
261,Alessi_5,288.08,-2.05,8.464,0.15,398,7.71,3.6,0.8,1.26,0.27699999999999997,4.6,0.7,1.568,0.20800000000000002,Alessi_5
262,Collinder_228,287.64,-1.06,12.21,0.26,1909,6.68,,,,,24.0,3.9,3.7460000000000004,0.218,Collinder_228
263,Trumpler_14,287.4,-0.58,13.594000000000001,0.45,2753,6.67,,,,,11.4,3.7,2.7769999999999997,0.426,Cl_Trumpler_14
264,Trumpler_15,287.41,-0.37,13.024000000000001,0.45,2117,7.08,,,,,8.2,2.3,2.345,0.37200000000000005,Cl_Trumpler_15
265,Trumpler_16,287.62,-0.65,13.88,0.52,2842,6.9,,,,,14.0,5.3,3.05,0.496,Cl_Trumpler_16
266,Ruprecht_91,286.87,1.49,9.802,0.01,900,8.63,,,,,5.5,1.3,1.82,0.31,Cl_Ruprecht_91
267,Loden_189,286.72,2.59,9.69,0.13,720,8.64,7.8,0.9,2.265,0.156,9.1,1.7,2.459,0.248,Loden_189
268,Ruprecht_92,289.39,-1.98,13.292,0.46,2362,7.53,,,,,19.9,3.9,3.512,0.26,Ruprecht_92
269,ESO_128-16,287.93,1.16,9.863999999999999,0.03,900,8.92,,,,,5.7,1.0,1.86,0.233,ESO_128-16
270,Trumpler_17,288.66,0.45,13.561,0.6,2189,7.51,,,,,11.3,3.7,2.775,0.426,Cl_Trumpler_17
271,Collinder_236,289.58,-1.23,9.732000000000001,0.07,800,8.37,5.3,0.8,1.778,0.196,6.4,1.1,2.019,0.223,Collinder_236
272,Bochum_12,289.85,-1.78,12.474,0.24,2218,7.68,,,,,11.8,3.5,2.83,0.387,C_1055-614
273,NGC_3496,289.53,-0.46,11.435,0.47,990,8.62,,,,,7.9,1.7,2.298,0.287,NGC_3496
274,Pismis_17,289.48,0.09,14.18,0.47,3504,7.32,,,,,28.7,6.0,3.991,0.273,Pismis_17
275,Ruprecht_93,290.46,-1.11,11.5,0.23,1437,8.64,,,,,6.8,1.1,2.101,0.215,Ruprecht_93
276,NGC_3532,289.6,1.39,8.606,0.04,497,8.45,11.9,2.5,2.815,0.27699999999999997,9.8,0.8,2.56,0.11699999999999999,NGC_3532
277,Loden_306,290.55,-0.82,12.249,0.24,2000,6.76,,,,,17.8,3.6,3.3689999999999998,0.267,Loden_306
278,Feinstein_1,290.15,0.44,11.622,0.42,1159,6.97,,,,,21.7,3.0,3.611,0.182,Feinstein_1
279,vdBergh-Hagen_111,291.95,-3.16,12.932,0.25,2700,8.35,,,,,16.3,5.5,3.267,0.44,vdBergh-Hagen_111
280,Loden_309,290.74,-0.14,9.666,0.25,600,8.63,,,,,2.8,0.7,0.9129999999999999,0.322,Loden_309
281,NGC_3572,290.71,0.21,12.562999999999999,0.34,2004,6.88,,,,,10.1,3.3,2.6310000000000002,0.423,NGC_3572
282,Basel_17,290.25,1.34,11.565999999999999,0.16,1637,7.88,,,,,6.6,1.7,2.065,0.336,C_1108-587
283,Trumpler_18,290.99,-0.13,11.625,0.31,1358,7.77,,,,,8.0,1.4,2.316,0.22699999999999998,Cl_Trumpler_18
284,NGC_3590,291.2,-0.17,12.484000000000002,0.45,1651,7.55,,,,,11.8,2.1,2.832,0.23199999999999998,NGC_3590
285,Stock_13,290.5,1.6,11.671,0.22,1577,7.37,10.8,3.2,2.715,0.391,17.0,2.9,3.3,0.23,C_1110-586
286,IC_2714,292.4,-1.79,11.517999999999999,0.34,1238,8.41,,,,,7.5,1.2,2.235,0.21600000000000003,IC_2714
287,NGC_3680,286.75,16.92,10.068999999999999,0.07,934,9.09,7.0,3.2,2.124,0.603,6.6,1.2,2.04,0.25,NGC_3680
288,Ruprecht_94,294.05,-1.98,13.587,0.3,3400,7.19,40.4,20.6,4.463,0.667,39.0,6.1,4.418,0.207,Ruprecht_94
289,Ruprecht_164,293.23,0.62,9.801,0.11,780,9.0,,,,,4.7,1.1,1.6230000000000002,0.304,C_1128-605
290,Loden_372,292.55,2.76,11.636,0.4,1200,8.55,,,,,5.1,1.5,1.742,0.38799999999999996,Loden_372
291,Loden_402,293.44,0.7,12.504000000000001,0.18,2450,8.2,,,,,19.7,4.6,3.517,0.305,Loden_402
292,IC_2944,294.49,-1.32,12.261,0.32,1794,6.9,,,,,18.5,3.4,3.43,0.243,IC_2944
293,NGC_3766,294.11,-0.03,11.767000000000001,0.18,1745,7.52,10.8,2.2,2.728,0.27,13.8,2.2,3.0460000000000003,0.209,NGC_3766
294,vdBergh-Hagen_121,294.81,-1.62,13.084000000000001,0.29,2735,6.64,25.5,3.5,3.864,0.185,39.8,7.0,4.4430000000000005,0.23199999999999998,vdBergh-Hagen_121
295,IC_2948,294.99,-1.72,13.005,0.3,2600,6.75,,,,,12.4,3.7,2.92,0.38799999999999996,IC_2948
296,Stock_14,295.21,-0.66,12.34,0.22,2146,7.0,,,,,11.6,3.1,2.8289999999999997,0.355,C_1141-622
297,Ruprecht_96,295.89,-0.1,10.447000000000001,0.25,860,9.0,,,,,4.0,1.1,1.425,0.342,C_1148-618
298,Loden_481,295.84,0.77,11.652999999999999,0.24,1520,8.19,15.8,2.4,3.217,0.205,18.6,2.5,3.432,0.177,Loden_481
299,Loden_480,295.7,3.69,11.325999999999999,0.3,1200,8.71,,,,,7.1,1.6,2.166,0.299,Loden_480
300,Ruprecht_98,297.3,-2.28,9.423,0.16,610,8.78,7.9,0.9,2.287,0.154,8.7,1.2,2.418,0.18600000000000003,C_1155-642
301,NGC_4052,297.3,-0.9,10.908,0.16,1209,8.4,,,,,7.6,2.2,2.265,0.373,NGC_4052
302,Ruprecht_99,297.66,-1.5,9.253,0.05,660,9.29,,,,,3.6,0.7,1.2570000000000001,0.256,Ruprecht_99
303,NGC_4103,297.57,1.16,11.974,0.28,1664,7.59,,,,,14.0,1.9,3.072,0.177,NGC_4103
304,ESO_130-06,297.37,3.1,12.084000000000001,0.12,2200,8.33,,,,,15.5,3.2,3.215,0.276,ESO_130-6
305,Loden_565,297.65,1.71,9.685,0.2,650,8.05,,,,,5.8,1.6,1.8769999999999998,0.363,Loden_565
306,ESO_130-08,297.73,2.94,9.515,0.0,800,9.02,,,,,6.0,1.0,1.93,0.212,ESO_130-8
307,Loden_615,299.65,-2.1,10.155,0.05,1000,8.63,,,,,6.7,1.4,2.088,0.284,Loden_615
308,Melotte_111,222.43,83.4,4.698,0.0,87,8.78,9.5,0.8,2.501,0.111,9.6,1.1,2.516,0.152,Melotte_111
309,NGC_4349,299.73,0.84,12.866,0.38,2176,8.32,20.3,2.5,3.577,0.16699999999999998,21.4,2.7,3.6439999999999997,0.17,NGC_4349
310,Collinder_258,299.97,1.97,10.888,0.16,1198,8.05,,,,,8.2,1.6,2.362,0.255,Collinder_258
311,NGC_4439,300.06,2.65,12.343,0.35,1785,7.71,,,,,3.5,0.9,1.288,0.32799999999999996,NGC_4439
312,Hogg_23,300.16,1.84,10.702,0.07,1250,8.31,,,,,6.5,2.3,2.0709999999999997,0.466,C_1226-606
313,NGC_4463,300.64,-2.01,11.718,0.52,1050,7.97,,,,,5.4,1.5,1.821,0.355,NGC_4463
314,Ruprecht_105,300.88,1.24,10.044,0.05,950,9.01,,,,,5.7,1.5,1.889,0.33299999999999996,Cl_Ruprecht_105
315,NGC_4609,301.89,-0.13,11.46,0.33,1223,7.78,,,,,5.9,1.3,1.944,0.28,NGC_4609
316,Loden_682,302.42,2.22,10.390999999999998,0.2,900,8.41,,,,,5.6,1.3,1.858,0.31,Loden_682
317,Loden_694,303.12,2.12,11.895999999999999,0.24,1700,7.38,17.4,1.8,3.37,0.14300000000000002,25.5,4.6,3.866,0.239,Loden_694
318,NGC_4755,303.2,2.51,12.657,0.38,1976,6.98,,,,,19.0,3.6,3.492,0.251,NGC_4755
319,NGC_4852,304.03,3.27,11.394,0.25,1330,8.63,8.6,1.3,2.441,0.20800000000000002,10.6,1.7,2.718,0.21,NGC_4852
320,NGC_5045,305.47,-0.63,12.027000000000001,0.37,1500,7.11,15.1,2.4,3.187,0.21100000000000002,24.5,4.0,3.813,0.218,NGC_5045
321,NGC_5043,306.01,2.66,10.399000000000001,0.15,970,8.79,,,,,6.8,1.3,2.12,0.26,NGC_5043
322,Stock_16,306.08,0.2,12.562000000000001,0.48,1640,6.78,,,,,14.6,3.5,3.1510000000000002,0.317,Stock_16
323,Collinder_269,306.16,-3.51,11.407,0.27,1300,8.52,,,,,8.8,1.9,2.4730000000000003,0.29,Collinder_269
324,Loden_821,307.02,2.83,13.786,0.5,2800,7.29,18.0,3.7,3.4610000000000003,0.26899999999999996,26.5,5.7,3.968,0.28300000000000003,Loden_821
325,Loden_807,306.75,0.13,10.450999999999999,0.2,925,8.3,,,,,6.1,1.3,1.9809999999999999,0.281,Loden_807
326,NGC_5138,307.53,3.53,12.296,0.26,1986,7.55,,,,,15.9,3.1,3.28,0.257,NGC_5138
327,Basel_18,307.16,0.22,13.319,0.51,2226,7.92,,,,,15.8,4.1,3.2760000000000002,0.33799999999999997,Cl_Basel_18
328,Hogg_16,307.47,1.34,12.270999999999999,0.41,1585,7.26,,,,,4.0,1.3,1.456,0.414,Cl_Hogg_16
329,Collinder_272,307.59,1.2,13.01,0.47,2045,7.02,,,,,14.5,3.2,3.156,0.287,Cl_Collinder_272
330,NGC_5168,307.72,1.57,12.270999999999999,0.33,1777,7.74,,,,,9.6,2.8,2.616,0.38,NGC_5168
331,Ruprecht_108,308.25,3.98,10.208,0.14,901,8.41,,,,,6.5,1.6,2.055,0.316,C_1328-582
332,Trumpler_21,307.57,-0.29,11.148,0.18,1312,7.76,,,,,11.5,2.7,2.824,0.312,Cl_Trumpler_21
333,Loden_915,308.36,3.17,8.96,0.15,500,8.44,,,,,4.6,0.9,1.574,0.261,Loden_915
334,Platais_10,309.33,3.04,7.202999999999999,0.08,246,8.2,,,,,15.7,2.4,3.1689999999999996,0.204,Platais_10
335,Loden_1010,309.51,1.94,9.845,0.2,700,8.69,6.6,1.3,2.077,0.251,7.9,1.4,2.3080000000000003,0.231,Loden_1010
336,NGC_5281,309.15,-0.71,11.06,0.27,1108,7.76,,,,,6.8,1.2,2.135,0.22399999999999998,NGC_5281
337,Platais_12,309.71,-1.3,8.502,0.1,435,8.23,22.8,1.9,3.6689999999999996,0.113,20.1,1.4,3.5069999999999997,0.102,Platais_12
338,NGC_5316,310.22,0.12,11.26,0.27,1215,8.19,15.1,2.4,3.178,0.212,13.6,1.7,3.0410000000000004,0.17,NGC_5316
339,Loden_995,309.52,-2.88,12.831,0.3,2400,8.34,,,,,27.1,6.1,3.9939999999999998,0.295,Loden_995
340,Loden_1171,311.75,3.33,9.115,0.2,500,8.45,,,,,2.1,0.6,0.552,0.368,Loden_1171
341,Lynga_1,310.85,-0.33,13.219000000000001,0.46,2283,8.15,,,,,14.8,4.1,3.2060000000000004,0.361,Cl_Lynga_1
342,NGC_5359,308.67,-8.28,12.3,0.1,2500,8.3,,,,,9.8,2.9,2.673,0.381,NGC_5359
343,Ruprecht_110,309.95,-5.61,10.57,0.0,1300,8.74,12.6,2.4,2.947,0.25,9.0,2.0,2.515,0.29100000000000004,Cl_Ruprecht_110
344,Loden_1194,312.17,1.82,8.65,0.05,500,8.53,,,,,3.8,0.9,1.3319999999999999,0.317,Loden_1194
345,NGC_5460,315.74,12.64,9.419,0.09,673,8.31,10.7,3.7,2.7030000000000003,0.451,7.4,1.1,2.2319999999999998,0.198,NGC_5460
346,Loden_1225,312.58,1.69,11.5,0.2,1500,8.67,,,,,11.0,2.2,2.787,0.26,Loden_1225
347,Ruprecht_167,313.91,2.04,11.815,0.1,2000,8.57,11.9,2.6,2.918,0.284,16.3,3.2,3.325,0.257,Ruprecht_167
348,Loden_1256,313.11,-0.28,11.661,0.3,1400,8.41,,,,,12.7,2.5,2.964,0.263,Loden_1256
349,ESO_175-06,314.66,3.95,9.322000000000001,0.2,550,8.6,,,,,3.6,1.0,1.2590000000000001,0.371,ESO_175-06
350,Lynga_2,313.84,-0.44,10.62,0.2,1000,8.42,7.3,2.1,2.227,0.375,7.2,1.3,2.2030000000000003,0.244,Cl_Lynga_2
351,NGC_5593,316.3,5.61,9.647,0.0,850,8.77,,,,,4.4,0.9,1.5590000000000002,0.261,NGC_5593
352,NGC_5606,314.84,1.0,12.739,0.47,1805,6.84,,,,,20.8,4.6,3.634,0.292,NGC_5606
353,NGC_5617,314.67,-0.1,12.415999999999999,0.48,1533,8.02,,,,,10.5,1.7,2.7319999999999998,0.22,NGC_5617
354,Trumpler_22,314.64,-0.58,12.515,0.52,1516,8.11,,,,,7.8,2.0,2.34,0.341,Cl_Trumpler_22
355,NGC_5662,316.93,3.4,10.117,0.31,678,7.64,9.4,3.0,2.542,0.41600000000000004,8.2,1.2,2.36,0.19,NGC_5662
356,Alessi_6,313.64,-5.53,8.791,0.19,437,8.3,5.5,0.4,1.8090000000000002,0.114,5.4,1.0,1.8,0.255,Alessi_6
357,vdBergh-Hagen_164,314.28,-6.07,9.105,0.13,550,7.14,8.3,1.1,2.359,0.177,8.0,1.5,2.315,0.245,vdBergh-Hagen_164
358,NGC_5749,319.53,4.55,11.213,0.37,1031,7.41,,,,,3.6,0.9,1.319,0.33299999999999996,NGC_5749
359,Hogg_18,320.76,6.43,12.512,0.51,1535,7.58,,,,,7.1,2.5,2.2319999999999998,0.46299999999999997,C_1447-520
360,NGC_5822,321.57,3.59,10.277000000000001,0.15,917,8.83,19.6,2.6,3.5189999999999997,0.174,15.9,1.4,3.247,0.124,NGC_5822
361,NGC_5823,321.12,2.47,10.66,0.09,1192,8.9,,,,,6.2,1.9,2.036,0.40299999999999997,NGC_5823
362,Alessi_8,326.49,4.27,9.077,0.09,575,7.92,7.5,2.7,2.245,0.461,6.2,1.1,1.9969999999999999,0.228,Alessi_8
363,Loden_2313,327.16,2.24,10.901,0.05,1410,8.74,,,,,11.2,2.8,2.825,0.331,Loden_2313
364,Collinder_292,325.04,-2.62,11.19,0.1,1500,8.73,,,,,12.6,2.4,2.988,0.253,C_1546-575
365,Ruprecht_113,324.62,-4.69,10.007,0.15,810,8.23,,,,,15.3,2.8,3.187,0.24,C_1553-593
366,NGC_6025,324.55,-5.88,9.926,0.16,769,7.96,10.2,1.1,2.66,0.15,9.9,1.2,2.6210000000000004,0.16399999999999998,NGC_6025
367,Nor_OB5,332.98,1.86,13.942,0.86,1800,7.11,104.7,16.9,5.778,0.214,97.5,11.5,5.686,0.159,Nor_OB5
368,Lynga_7,328.75,-2.74,10.212,0.27,750,7.11,,,,,6.1,1.7,1.9980000000000002,0.365,Lynga_7
369,NGC_6067,329.74,-2.2,11.997,0.4,1417,8.01,12.3,1.3,2.951,0.14400000000000002,11.6,1.5,2.8739999999999997,0.17800000000000002,NGC_6067
370,Harvard_10,329.83,-3.27,11.365,0.25,1312,7.87,24.0,3.0,3.819,0.165,26.4,3.3,3.9419999999999997,0.17,C_1615-548
371,NGC_6087,327.72,-5.42,10.332,0.18,901,7.93,12.4,1.1,2.923,0.11800000000000001,15.4,1.7,3.2030000000000003,0.149,NGC_6087
372,Ruprecht_116,332.38,-1.68,10.081,0.1,900,8.95,,,,,3.7,0.8,1.364,0.281,C_1619-518
373,NGC_6124,340.74,6.03,10.468,0.68,470,8.34,9.5,2.0,2.546,0.27699999999999997,8.1,0.9,2.338,0.14800000000000002,NGC_6124
374,NGC_6134,334.92,-0.19,10.98,0.38,913,8.53,,,,,3.8,0.9,1.389,0.313,NGC_6134
375,Ruprecht_119,333.27,-1.88,11.669,0.57,956,7.43,,,,,4.9,1.3,1.726,0.35,C_1624-514
376,NGC_6152,332.91,-3.15,10.684000000000001,0.2,1030,8.65,14.0,1.7,3.097,0.162,13.5,1.6,3.049,0.159,NGC_6152
377,NGC_6167,335.22,-1.42,12.672,0.79,1108,8.16,,,,,9.4,2.3,2.582,0.325,NGC_6167
378,NGC_6178,338.4,1.22,10.712,0.22,1014,7.51,,,,,6.7,2.1,2.136,0.408,NGC_6178
379,NGC_6192,340.64,2.13,12.931,0.64,1547,8.13,,,,,10.8,2.9,2.804,0.35200000000000004,NGC_6192
380,NGC_6193,336.71,-1.57,11.77,0.47,1155,6.9,9.0,1.4,2.531,0.205,10.8,2.5,2.772,0.31,NGC_6193
381,NGC_6200,337.99,-1.06,13.360999999999999,0.58,2054,7.0,,,,,15.1,3.9,3.281,0.337,NGC_6200
382,NGC_6204,338.55,-1.03,11.51,0.43,1085,8.28,,,,,4.0,1.0,1.459,0.337,NGC_6204
383,Hogg_22,338.56,-1.14,12.58,0.65,1297,6.7,,,,,5.6,2.3,1.925,0.537,Cl_Hogg_22
384,NGC_6208,333.75,-5.76,10.514000000000001,0.21,939,9.07,,,,,3.2,0.9,1.149,0.35700000000000004,NGC_6208
385,NGC_6231,343.46,1.18,11.849,0.44,1250,6.81,,,,,11.1,2.6,2.823,0.311,NGC_6231
386,ESO_332-08,344.39,1.81,11.015999999999998,0.2,1200,8.17,,,,,4.8,1.1,1.732,0.303,ESO_332-8
387,NGC_6242,345.47,2.47,11.445,0.38,1131,7.63,11.9,7.4,2.907,0.8140000000000001,9.8,1.5,2.6519999999999997,0.20600000000000002,NGC_6242
388,vdBergh-Hagen_205,344.59,1.62,12.602,0.3,2160,7.12,,,,,5.4,1.8,1.952,0.441,vdBergh-Hagen_205
389,NGC_6249,341.53,-1.18,11.322000000000001,0.44,981,7.54,8.2,5.2,2.399,0.8340000000000001,8.4,1.6,2.439,0.247,NGC_6249
390,NGC_6250,340.68,-1.92,10.77,0.35,865,7.42,,,,,12.1,2.6,2.9,0.28300000000000003,NGC_6250
391,NGC_6268,346.04,1.31,11.270999999999999,0.39,1029,8.24,,,,,5.0,0.9,1.775,0.24600000000000002,NGC_6268
392,NGC_6281,347.72,1.98,8.934,0.15,494,8.51,8.0,3.5,2.331,0.5660000000000001,7.3,0.8,2.206,0.147,NGC_6281
393,Sco_OB4,352.39,3.44,10.827,0.2,1100,6.82,88.2,10.6,5.5120000000000005,0.162,68.2,5.4,5.178,0.11,Ass_Sco_OB_4
394,Bochum_13,351.2,1.37,12.61,0.79,1077,7.08,,,,,8.6,2.7,2.475,0.41600000000000004,Cl_Bochum_13
395,NGC_6322,345.28,-3.05,11.632,0.53,995,7.16,,,,,4.2,1.1,1.5419999999999998,0.341,NGC_6322
396,vdBergh-Hagen_221,353.97,3.0,9.995,0.2,750,8.01,6.7,1.1,2.13,0.222,7.2,1.6,2.21,0.285,vdBergh-Hagen_221
397,IC_4651,340.09,-7.9,10.113999999999999,0.12,888,8.92,,,,,6.5,1.1,2.085,0.218,IC_4651
398,Trumpler_26,357.52,2.84,12.67,0.14,2800,8.38,,,,,16.4,5.5,3.464,0.44,C_1725-294
399,Antalova_1,355.84,1.64,10.422,0.25,850,8.5,,,,,6.7,1.9,2.137,0.369,Antalova_1
400,Ruprecht_125,348.49,-3.4,11.19,0.1,1500,8.77,,,,,11.1,2.6,2.841,0.311,Ruprecht_125
401,Collinder_333,354.09,-0.17,10.001,0.11,855,8.9,,,,,5.1,1.8,1.7819999999999998,0.45,Cl_Collinder_333
402,NGC_6383,355.68,0.05,10.897,0.3,985,6.71,8.3,1.2,2.4290000000000003,0.19,9.6,1.9,2.6069999999999998,0.258,NGC_6383
403,Trumpler_27,355.06,-0.74,14.105,1.19,1211,7.47,,,,,15.9,3.7,3.2939999999999996,0.302,Cl_Trumpler_27
404,Trumpler_28,356.01,-0.3,12.902999999999999,0.73,1343,6.89,,,,,7.5,2.1,2.33,0.368,Cl_Trumpler_28
405,ESO_139-13,333.98,-13.8,11.5,0.2,1500,8.78,,,,,3.9,1.1,1.4809999999999999,0.37,ESO_139-13
406,Collinder_338,351.7,-3.29,10.497,0.25,880,8.65,9.6,1.8,2.597,0.248,8.7,1.8,2.475,0.27699999999999997,Collinder_338
407,NGC_6400,352.58,-3.24,10.23,0.11,950,8.78,9.1,5.7,2.5340000000000003,0.828,6.7,1.3,2.137,0.26,NGC_6400
408,NGC_6405,356.62,-0.74,8.872,0.14,487,7.91,5.5,1.2,1.847,0.289,6.4,0.9,2.039,0.18600000000000003,NGC_6405
409,Trumpler_29,349.98,-5.14,9.993,0.19,760,8.69,,,,,4.4,0.9,1.5759999999999998,0.261,C_1738-400
410,Alessi_9,344.13,-9.13,6.667000000000001,0.07,195,8.42,10.7,3.9,2.681,0.48100000000000004,7.9,1.1,2.281,0.184,Alessi_9
411,NGC_6416,356.93,-1.55,10.124,0.25,741,8.78,5.1,0.6,1.76,0.153,6.2,1.0,2.022,0.204,NGC_6416
412,IC_4665,30.62,17.08,8.26,0.17,352,7.63,8.7,2.3,2.414,0.344,10.7,1.4,2.681,0.177,IC_4665
413,NGC_6425,357.94,-1.6,10.695,0.4,778,8.34,,,,,3.9,0.9,1.405,0.313,NGC_6425
414,Collinder_350,26.79,14.69,8.383,0.37,280,8.61,5.8,0.7,1.891,0.16399999999999998,5.5,0.9,1.8219999999999998,0.21899999999999997,Collinder_350
415,Ruprecht_131,0.14,-0.84,9.201,0.1,600,9.17,,,,,3.1,1.0,1.103,0.409,Cl_Ruprecht_131
416,NGC_6444,355.39,-3.75,9.113,0.12,560,9.0,,,,,3.4,0.7,1.225,0.266,NGC_6444
417,Basel_5,359.76,-1.86,10.413,0.32,766,8.54,,,,,6.0,1.9,1.989,0.40299999999999997,C_1749-300
418,Sco_OB5,352.38,-6.2,13.312000000000001,0.23,3310,6.86,93.6,12.9,5.77,0.184,85.9,12.7,5.6579999999999995,0.19699999999999998,Sco_OB5
419,NGC_6469,6.55,1.94,9.632,0.3,550,8.36,,,,,2.9,0.8,1.005,0.355,NGC_6469
420,NGC_6475,355.86,-4.49,7.696000000000001,0.1,300,8.22,12.3,2.0,2.866,0.213,11.8,0.9,2.818,0.11,NGC_6475
421,Trumpler_30,355.74,-5.25,10.682,0.22,1000,8.31,,,,,5.0,1.3,1.771,0.327,C_1753-353
422,NGC_6494,9.88,2.84,10.106,0.36,628,8.52,15.8,2.2,3.23,0.185,10.9,1.0,2.75,0.126,M_23
423,Collinder_359,29.72,12.63,9.527000000000001,0.16,640,7.45,27.5,2.7,3.944,0.133,26.0,4.2,3.87,0.215,Collinder_359
424,Ruprecht_139,6.41,-0.22,9.167,0.15,550,9.05,,,,,2.5,0.6,0.7979999999999999,0.298,Cl_Ruprecht_139
425,NGC_6514,7.08,-0.28,10.147,0.19,816,7.28,,,,,6.8,2.1,2.1430000000000002,0.41100000000000003,M_20
426,NGC_6520,2.88,-2.84,12.290999999999999,0.42,1577,7.75,,,,,4.7,1.3,1.725,0.379,NGC_6520
427,NGC_6531,7.67,-0.35,11.273,0.28,1205,6.82,11.7,1.6,2.8939999999999997,0.17800000000000002,17.3,3.6,3.4010000000000002,0.27699999999999997,M_21
428,NGC_6530,6.07,-1.32,11.536,0.3,1322,6.67,,,,,11.1,2.2,2.8310000000000004,0.26,NGC_6530
429,NGC_6546,7.32,-1.43,11.38,0.49,938,8.72,7.1,1.4,2.2159999999999997,0.268,8.7,1.8,2.484,0.266,NGC_6546
430,vdBergh_113,9.13,-0.77,14.5,0.58,3470,7.5,39.4,7.0,4.655,0.235,45.5,8.2,4.841,0.239,vdBergh_113
431,ESO_521-38,6.47,-2.38,11.958,0.22,1800,8.1,,,,,7.0,2.2,2.275,0.40700000000000003,ESO_521-38
432,Collinder_367,7.27,-2.02,11.481,0.35,1200,6.84,,,,,18.7,4.0,3.503,0.278,Collinder_367
433,NGC_6561,13.42,1.16,13.897,0.4,3400,6.92,,,,,28.5,11.3,4.2219999999999995,0.519,NGC_6561
434,NGC_6568,9.41,-1.64,10.775,0.25,1000,8.71,6.9,2.3,2.186,0.435,9.6,1.6,2.62,0.213,NGC_6568
435,Sgr_OB7,10.7,-1.51,12.092,0.24,1860,6.64,,,,,74.1,7.8,5.351,0.14300000000000002,Ass_Sgr_OB_7
436,Markarian_38,12.01,-0.98,11.875,0.3,1545,6.95,,,,,8.3,1.9,2.4659999999999997,0.304,Markarian_38
437,NGC_6596,14.3,-0.28,10.672,0.15,1100,8.6,,,,,9.2,2.0,2.559,0.29100000000000004,NGC_6596
438,Dias_5,11.65,-1.73,12.251,0.33,1760,7.14,,,,,12.0,3.3,2.966,0.35600000000000004,Dias_5
439,NGC_6604,18.24,1.7,14.092,0.95,1696,6.64,16.4,4.4,3.364,0.35200000000000004,20.3,3.8,3.6460000000000004,0.245,NGC_6604
440,NGC_6603,12.83,-1.31,13.847000000000001,0.5,2880,7.8,,,,,19.6,5.5,3.699,0.36700000000000005,NGC_6603
441,NGC_6611,16.94,0.8,13.345999999999998,0.7,1719,6.72,13.7,4.0,3.136,0.381,12.4,2.2,3.003,0.239,M_16
442,Alessi_19,40.29,12.63,8.826,0.04,550,8.05,14.8,2.9,3.117,0.259,14.3,2.4,3.08,0.225,Alessi_19
