COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
1103,ASCC_103,69.48,7.22,9.225,0.0,700,8.37,,,,,9.1,1.6,2.475,0.22699999999999998,ASCC_103
1104,ASCC_104,54.9,-1.55,10.538,0.33,800,7.71,,,,,15.5,2.4,3.181,0.209,ASCC_104
1105,ASCC_105,62.78,2.16,8.774,0.09,500,8.0,,,,,11.3,1.5,2.7539999999999996,0.174,ASCC_105
1106,ASCC_106,40.34,-10.73,9.58,0.35,500,8.42,,,,,11.4,2.2,2.781,0.251,ASCC_106
1107,ASCC_107,58.86,-1.89,9.845,0.2,700,8.41,,,,,2.9,0.7,0.9990000000000001,0.303,ASCC_107
1108,ASCC_108,74.45,5.99,10.362,0.05,1100,8.64,,,,,9.2,1.9,2.481,0.267,ASCC_108
1109,ASCC_109,70.33,3.51,8.266,0.0,450,8.31,,,,,8.7,1.5,2.403,0.231,ASCC_109
1110,ASCC_110,70.45,1.4,9.98,0.15,800,8.75,,,,,7.4,1.3,2.199,0.237,ASCC_110
1111,ASCC_111,74.62,2.08,11.950999999999999,0.3,1600,7.05,43.2,9.9,4.504,0.301,35.6,4.1,4.251,0.154,ASCC_111
1112,ASCC_112,87.47,9.3,8.95,0.08,550,8.15,5.1,0.6,1.683,0.157,4.1,0.7,1.4169999999999998,0.214,ASCC_112
1113,ASCC_113,82.88,-6.65,8.266,0.0,450,8.14,,,,,7.3,0.9,2.171,0.168,ASCC_113
1114,ASCC_114,97.07,1.0,9.508,0.26,550,7.75,,,,,3.1,0.6,1.041,0.24100000000000002,ASCC_114
1115,ASCC_115,97.45,-2.54,9.356,0.15,600,8.59,,,,,3.7,0.8,1.254,0.29600000000000004,ASCC_115
1116,ASCC_116,99.49,-0.32,15.075999999999999,0.51,5000,7.03,,,,,43.1,10.9,4.226,0.332,ASCC_116
