Name,deltaV,sigdV,[FeH],sigFeH,t[Gyr],sigt[Gyr],logt,Rgc[kpc],z[pc]
NGC_4815,0.5,0.25,0.0,0.2,0.87,0.26,-0.06,10.64,630
NGC_5822,1.0,0.15,0.06,0.08,1.37,0.31,0.14,8.27,310
NGC_6791,1.1,0.25,0.0,0.2,1.52,0.51,0.18,7.9,-80
NGC_6802,0.8,0.25,0.09,0.06,1.16,0.36,0.06,7.94,45
NGC_6819,2.6,0.05,0.4,0.06,10.2,1.2,1.01,8.12,800
NGC_6827,0.4,0.25,0.0,0.2,0.8,0.24,-0.1,7.96,15
NGC_6939,1.7,0.15,0.15,0.09,2.91,0.71,0.46,8.18,300
NGC_7044,0.5,0.25,0.0,0.2,0.87,0.26,-0.06,8.32,-355
NGC_7142,1.4,0.25,-0.05,0.11,2.05,0.71,0.31,8.7,255
NGC_7789,0.7,0.15,0.0,0.2,1.04,0.23,0.02,9.08,-280
C_0816-414,2.0,0.15,0.09,0.11,4.04,1.02,0.61,9.7,485
C_0829-385,1.1,0.05,-0.13,0.08,1.8,0.3,0.26,9.44,-170
C_0701-207,1.1,0.25,-0.07,0.15,1.51,0.5,0.18,9.47,-165
C_0634+094,1.7,0.25,0.0,0.2,2.84,1.04,0.45,8.83,10
Tombaugh_2,1.5,0.05,-0.45,0.06,2.13,0.35,0.33,13.08,-725
Trumpler_5,2.3,0.25,0.0,0.2,5.67,2.26,0.75,11.13,50
