ID,RA,Dec,ID_Simbad
Ass_Per_OB_2,03 51 02.000,35 06 00.000,Ass_Per_OB_2
Teutsch_28,20 28 14.160,35 06 10.800,Teutsch_28
[KPR2005]_14,05 20 24.000,35 10 48.000,[KPR2005]_14
[KPS2012]_MWSC_3579,22 01 26.000,35 14 24.000,[KPS2012]_MWSC_3579
NGC_2240,06 33 20.000,35 15 54.000,NGC_2240
[FSR2007]_0802,06 00 58.800,35 17 13.200,[FSR2007]_0802
Teutsch_8,20 02 23.520,35 18 36.000,Teutsch_8
NGC_1907,05 28 07.920,35 19 48.000,NGC_1907
[FSR2007]_0795,05 47 26.640,35 25 37.200,[FSR2007]_0795
Cl_Biurakan_2,20 09 07.920,35 29 16.800,Cl_Biurakan_2
C_2043+353,20 45 04.000,35 30 12.000,C_2043+353
Kronberger_28,20 06 31.000,35 34 12.000,Kronberger_28
C_2039+353,20 41 49.000,35 35 06.000,C_2039+353
[KPS2012]_MWSC_3403,20 43 12.000,35 35 06.000,[KPS2012]_MWSC_3403
[KPR2005]_103,19 36 18.000,35 39 36.000,[KPR2005]_103
C_2009+354,20 11 33.120,35 36 10.800,C_2009+354
[FSR2007]_0198,20 02 27.360,35 40 51.600,[FSR2007]_0198
C_2005+355,20 07 35.000,35 42 48.000,C_2005+355
NGC_6871,20 06 11.520,35 45 54.000,NGC_6871
[KPS2012]_MWSC_0451,05 01 10.000,35 47 36.000,[KPS2012]_MWSC_0451
M_38,05 28 40.080,35 49 26.400,M_38
NGC_6883,20 11 20.000,35 49 48.000,NGC_6883
[BDS2003]_73,05 41 33.000,35 51 42.000,[BDS2003]_73
Sh2_235,05 40 43.000,35 55 12.000,
Dol-Dzim_11,20 51 07.000,35 56 42.000,
[KPS2012]_MWSC_0432,04 52 23.000,35 57 00.000,[KPS2012]_MWSC_0432
Cl_Czernik_21,05 26 41.040,36 00 46.800,Cl_Czernik_21
Teutsch_30,20 27 42.960,36 04 26.400,Teutsch_30
[KPS2012]_MWSC_0397,04 35 38.000,36 05 54.000,[KPS2012]_MWSC_0397
NGC_7050,21 15 13.000,36 09 54.000,NGC_7050
[KPR2005]_101,19 13 35.760,36 22 08.400,[KPR2005]_101
[KPS2012]_MWSC_3540,21 39 15.000,36 21 18.000,[KPS2012]_MWSC_3540
[KPS2012]_MWSC_0826,06 16 25.200,36 22 37.200,[KPS2012]_MWSC_0826
NGC_7063,21 24 29.280,36 30 25.200,NGC_7063
C_2006+364,20 09 42.000,36 29 54.000,C_2006+364
[KPS2012]_MWSC_0504,05 19 39.000,36 30 00.000,[KPS2012]_MWSC_0504
C_2039+364,20 41 45.000,36 31 00.000,C_2039+364
[KPR2005]_15,05 22 28.000,36 33 54.000,[KPR2005]_15
Kronberger_57,20 23 56.640,36 36 07.200,Kronberger_57
Kronberger_73,20 13 46.000,36 44 54.000,Kronberger_73
Kronberger_74,20 18 04.000,36 45 36.000,Kronberger_74
[FSR2007]_0753,05 02 10.000,36 46 00.000,[FSR2007]_0753
[KGZ2008]_52,04 55 44.000,36 47 00.000,[KGZ2008]_52
NAME_del_Lyr_Cluster,18 54 16.320,36 53 56.400,NAME_del_Lyr_Cluster
C_2013+366,20 15 12.720,36 49 55.200,C_2013+366
[KPS2012]_MWSC_0288,03 33 25.000,36 49 36.000,[KPS2012]_MWSC_0288
NGC_1548,04 21 20.000,36 55 12.000,NGC_1548
C_2041+368,20 43 25.440,37 01 51.600,C_2041+368
NGC_1778,05 08 07.920,37 01 12.000,NGC_1778
[KPS2012]_MWSC_3340,20 26 33.000,37 16 00.000,[KPS2012]_MWSC_3340
NGC_1342,03 31 34.560,37 22 48.000,NGC_1342
NAME_ECX6-12_IR_Cluster,20 25 28.000,37 23 24.000,NAME_ECX6-12_IR_Cluster
Cl_Berkeley_87,20 21 35.040,37 25 58.800,Cl_Berkeley_87
[KPR2005]_111,20 11 33.840,37 30 54.000,[KPR2005]_111
C_2107+374,21 10 48.000,37 32 12.000,C_2107+374
[BDS2003]_68,05 18 14.000,37 33 24.000,[BDS2003]_68
Kronberger_18,05 18 41.000,37 37 48.000,Kronberger_18
IC_4996,20 16 32.400,37 38 56.400,IC_4996
Cl_Dolidze_37,20 02 51.000,37 39 00.000,Cl_Dolidze_37
[KPS2012]_MWSC_3142,19 36 29.000,37 41 36.000,[KPS2012]_MWSC_3142
Teutsch_39,22 36 37.000,37 43 36.000,Teutsch_39
Cl_Berkeley_85,20 18 46.080,37 44 38.400,Cl_Berkeley_85
NGC_6791,19 20 53.040,37 46 40.800,NGC_6791
NGC_752,01 56 53.520,37 47 38.400,NGC_752
C_0535+379,05 39 13.920,37 51 00.000,C_0535+379
[KPS2012]_MWSC_3402,20 42 52.000,37 51 18.000,[KPS2012]_MWSC_3402
C_2016+376,20 17 56.000,37 52 30.000,C_2016+376
Kronberger_72,20 12 20.000,37 52 48.000,Kronberger_72
C_2014+377,20 16 12.000,37 52 48.000,C_2014+377
NAME_IV_CYG_ASSOC.,21 14 17.000,37 52 48.000,NAME_IV_CYG_ASSOC.
C_2050+377,20 52 47.040,37 50 49.200,C_2050+377
[FSR2007]_0744,04 59 28.000,37 57 54.000,[FSR2007]_0744
[KPS2012]_MWSC_5558,01 22 43.000,37 57 54.000,
NAME_Feibelman_1,20 17 40.080,38 01 48.000,NAME_Feibelman_1
[KPS2012]_MWSC_0429,04 50 35.000,38 08 00.000,[KPS2012]_MWSC_0429
C_2017+379,20 19 37.000,38 08 30.000,C_2017+379
[KPS2012]_MWSC_0358,04 18 13.000,38 08 42.000,[KPS2012]_MWSC_0358
Teutsch_52,05 30 18.000,38 14 38.400,Teutsch_52
Dol-Dzim_6,16 45 31.000,38 21 36.000,
C_2005+382,20 06 41.000,38 21 54.000,C_2005+382
[KPS2012]_MWSC_0469,05 07 16.000,38 24 36.000,[KPS2012]_MWSC_0469
[KPS2012]_MWSC_0384,04 29 49.920,38 29 45.600,[KPS2012]_MWSC_0384
M_29,20 23 46.320,38 29 13.200,M_29
[KPR2005]_113,21 11 43.920,38 38 16.800,[KPR2005]_113
NAME_Skiff_J1942+38.6,19 42 26.640,38 38 42.000,NAME_Skiff_J1942+38.6
Cl_Berkeley_86,20 20 20.160,38 41 16.800,Cl_Berkeley_86
DSH_J0510.0+3849,05 09 56.000,38 48 54.000,DSH_J0510.0+3849
