ID,RA,Dec,ID_Simbad
SAI_121,14 40 11.760,-60 22 30.000,SAI_121
ESO_123-26,07 52 12.000,-60 20 24.000,ESO_123-26
NGC_3496,10 59 30.480,-60 20 06.000,NGC_3496
C_1004-600,10 06 29.040,-60 17 24.000,C_1004-600
NGC_3572,11 10 33.600,-60 17 38.400,NGC_3572
C_1114-600,11 16 18.000,-60 14 42.000,C_1114-600
Cl_Sher_1,11 01 02.880,-60 13 58.800,Cl_Sher_1
Cl_Loden_1010,13 45 05.000,-60 13 48.000,Cl_Loden_1010
[KPS2012]_MWSC_4408,18 15 31.000,-60 12 54.000,[KPS2012]_MWSC_4408
C_1331-598,13 34 32.000,-60 12 48.000,C_1331-598
[KPS2012]_MWSC_2148,13 41 00.240,-60 12 10.800,[KPS2012]_MWSC_2148
ESO_127-17,10 23 48.480,-60 08 31.200,ESO_127-17
C_1033-598,10 35 42.000,-60 07 48.000,C_1033-598
[KPR2005]_80,15 24 45.000,-60 07 42.000,[KPR2005]_80
NGC_3114,10 02 12.720,-60 02 27.600,NGC_3114
NGC_4439,12 28 28.560,-60 05 49.200,NGC_4439
[KPS2012]_MWSC_2703,17 48 50.000,-60 06 36.000,[KPS2012]_MWSC_2703
[KPR2005]_62,10 51 04.000,-60 05 06.000,[KPR2005]_62
C_1045-598,10 47 04.560,-60 05 45.600,C_1045-598
NGC_5043,13 16 05.000,-60 03 54.000,NGC_5043
[KPS2012]_MWSC_2219,14 28 34.000,-60 01 12.000,[KPS2012]_MWSC_2219
[KPS2012]_MWSC_5723,19 42 05.000,-60 00 54.000,
Cl_Ruprecht_111,14 36 02.400,-59 58 30.000,Cl_Ruprecht_111
[KPS2012]_MWSC_4116,06 19 12.000,-59 58 12.000,[KPS2012]_MWSC_4116
NGC_5299,13 50 26.000,-59 56 42.000,
NGC_2132,05 55 19.000,-59 55 12.000,NGC_2132
Cl_Collinder_223,10 30 34.000,-59 51 18.000,Cl_Collinder_223
[DBS2003]_89,14 45 02.000,-59 50 00.000,[DBS2003]_89
Cl_Feinstein_1,11 06 43.000,-59 49 12.000,Cl_Feinstein_1
C_1225-595,12 28 44.000,-59 48 36.000,C_1225-595
Cl_Loden_821,13 24 14.000,-59 48 36.000,Cl_Loden_821
Cl_Loden_1095,13 53 37.000,-59 44 42.000,Cl_Loden_1095
C_1402-594,14 08 01.440,-59 47 09.600,C_1402-594
C_1405-594,14 09 22.000,-59 43 30.000,C_1405-594
ESO_130-13,12 23 07.680,-59 38 38.400,ESO_130-13
NAME_HD_135159_Group,15 16 47.760,-59 39 32.400,NAME_HD_135159_Group
NGC_5606,14 27 47.040,-59 37 55.200,NGC_5606
[KPS2012]_MWSC_2289,15 20 58.000,-59 37 12.000,[KPS2012]_MWSC_2289
[DBS2003]_51,10 33 02.000,-59 36 54.000,[DBS2003]_51
NGC_5381,14 00 49.200,-59 34 40.800,NGC_5381
NGC_4852,13 00 11.040,-59 36 25.200,NGC_4852
C_1354-593,13 57 30.000,-59 34 48.000,C_1354-593
Teutsch_106,10 59 20.640,-59 33 25.200,Teutsch_106
ESO_130-8,12 10 28.560,-59 28 44.400,ESO_130-8
[KPS2012]_MWSC_1797,10 22 44.400,-59 30 36.000,[KPS2012]_MWSC_1797
C_1553-593,15 57 32.000,-59 29 42.000,C_1553-593
[KPS2012]_MWSC_2254,14 46 53.000,-59 29 12.000,[KPS2012]_MWSC_2254
Cl_Turner_6,10 59 01.000,-59 29 00.000,Cl_Turner_6
[KPR2005]_53,09 38 10.000,-59 27 36.000,[KPR2005]_53
Teutsch_31,10 52 50.160,-59 27 46.800,Teutsch_31
C_1000-592,10 01 44.000,-59 27 18.000,C_1000-592
C_1356-591,13 59 28.000,-59 19 48.000,C_1356-591
[KPS2012]_MWSC_1389,07 57 38.000,-59 19 12.000,[KPS2012]_MWSC_1389
ESO_130-6,12 07 52.800,-59 18 36.000,ESO_130-6
[DBS2003]_43,10 03 50.880,-59 13 55.200,[DBS2003]_43
Cl_Loden_915,13 34 17.000,-59 17 42.000,Cl_Loden_915
[KPS2012]_MWSC_2307,15 38 49.000,-59 15 12.000,[KPS2012]_MWSC_2307
NAME_HIP_67014_Cluster,13 40 52.800,-59 16 15.600,NAME_HIP_67014_Cluster
Cl_Trumpler_17,10 56 25.920,-59 13 48.000,Cl_Trumpler_17
NGC_5284,13 46 25.000,-59 12 00.000,NGC_5284
[KPS2012]_MWSC_1196,07 22 48.000,-59 11 54.000,[KPS2012]_MWSC_1196
[KPS2012]_MWSC_1771,10 08 01.000,-59 11 42.000,[KPS2012]_MWSC_1771
TYC_1-584-1,10 39 59.040,-59 11 31.200,TYC_1-584-1
Cl_Platais_8,09 06 52.320,-58 41 06.000,Cl_Platais_8
ESO_134-12,14 44 52.800,-59 09 28.800,ESO_134-12
Cl_VDBH_99,10 38 12.720,-59 10 04.800,Cl_VDBH_99
Cl_Loden_1282,14 15 50.000,-59 07 12.000,Cl_Loden_1282
Cl_Bochum_10,10 42 27.000,-59 06 54.000,Cl_Bochum_10
C_1107-588,11 09 49.000,-59 06 00.000,C_1107-588
Cl_Pismis_20,15 15 23.520,-59 04 22.800,Cl_Pismis_20
C_1056-587,10 58 25.000,-59 03 12.000,C_1056-587
C_1108-587,11 10 36.000,-59 02 49.200,C_1108-587
NGC_5138,13 27 18.960,-59 01 22.800,NGC_5138
Cl_Ruprecht_167,14 20 36.000,-58 51 28.800,Cl_Ruprecht_167
[KPS2012]_MWSC_2118,13 25 32.000,-58 59 06.000,[KPS2012]_MWSC_2118
NAME_Alessi-Teutsch_12,17 01 41.040,-58 58 51.600,NAME_Alessi-Teutsch_12
[DBS2003]_64,11 24 34.000,-58 57 00.000,[DBS2003]_64
C_1110-586,11 12 59.000,-58 52 48.000,C_1110-586
[KPS2012]_MWSC_2452,16 44 52.000,-58 51 36.000,[KPS2012]_MWSC_2452
[KPR2005]_74,13 35 49.000,-58 48 36.000,[KPR2005]_74
C_1027-585,10 28 53.000,-58 48 18.000,C_1027-585
Cl_Loden_2045,15 10 34.000,-58 46 12.000,Cl_Loden_2045
NAME_Carraro_1,10 36 56.000,-58 45 00.000,NAME_Carraro_1
NGC_3532,11 05 40.080,-58 42 25.200,NGC_3532
[KPS2012]_MWSC_2127,13 30 02.000,-58 43 48.000,[KPS2012]_MWSC_2127
[KPS2012]_MWSC_2220,14 29 11.000,-58 42 36.000,[KPS2012]_MWSC_2220
C_1400-584,14 04 24.000,-58 42 00.000,C_1400-584
Cl_VDBH_91,10 16 59.000,-58 41 42.000,Cl_VDBH_91
C_1120-582,11 23 03.600,-58 32 56.400,C_1120-582
ESO_139-54,18 04 37.000,-58 31 30.000,ESO_139-54
[KPS2012]_MWSC_1944,11 27 40.080,-58 28 15.600,[KPS2012]_MWSC_1944
[KPR2005]_60,10 33 09.000,-58 28 54.000,[KPR2005]_60
C_1128-582,11 31 04.560,-58 30 25.200,C_1128-582
C_1328-582,13 32 00.480,-58 30 32.400,C_1328-582
[DBS2003]_139,15 10 01.000,-58 25 36.000,[DBS2003]_139
ESO_130-11,12 16 55.000,-58 25 00.000,ESO_130-11
[KPS2012]_MWSC_2061,12 40 48.000,-58 24 36.000,[KPS2012]_MWSC_2061
C_1153-581,11 55 37.000,-58 23 24.000,C_1153-581
C_1356-581,13 59 22.000,-58 23 00.000,C_1356-581
C_1512-581,15 16 46.560,-58 22 22.800,C_1512-581
[DBS2003]_140,15 10 03.000,-58 17 12.000,[DBS2003]_140
Cl_Loden_2158,15 35 04.000,-58 16 30.000,Cl_Loden_2158
ESO_128-16,10 53 40.000,-58 14 42.000,ESO_128-16
NGC_3293,10 35 52.800,-58 13 51.600,NGC_3293
C_0959-579,10 01 19.440,-58 13 04.800,C_0959-579
ESO_129-19,11 21 09.000,-58 12 54.000,ESO_129-19
Cl_Loden_1378,14 30 07.000,-58 12 54.000,Cl_Loden_1378
ESO_139-13,17 37 50.000,-58 08 42.000,ESO_139-13
C_1026-579,10 28 26.000,-58 08 06.000,C_1026-579
Cl_Loden_2159,15 33 40.000,-58 08 06.000,Cl_Loden_2159
Cl_Loden_153,10 34 41.000,-58 07 48.000,Cl_Loden_153
[KPR2004b]_235,10 03 13.000,-58 07 30.000,[KPR2004b]_235
[KPS2012]_MWSC_2201,14 06 38.000,-58 07 12.000,[KPS2012]_MWSC_2201
NGC_4337,12 24 05.280,-58 07 30.000,NGC_4337
C_1010-577,10 12 15.360,-58 04 08.400,C_1010-577
[DBS2003]_48,10 31 29.000,-58 02 00.000,[DBS2003]_48
NGC_6087,16 18 53.040,-57 54 57.600,NGC_6087
Cl_Collinder_220,10 25 42.960,-57 55 19.200,Cl_Collinder_220
ESO_141-47,19 18 15.000,-57 54 00.000,ESO_141-47
C_1355-576,13 59 06.000,-57 52 30.000,C_1355-576
ESO_131-9,12 29 37.000,-57 51 54.000,ESO_131-9
C_1410-576,14 14 13.000,-57 51 36.000,C_1410-576
NGC_1252,03 10 48.000,-57 45 36.000,NGC_1252
[DBS2003]_40,10 01 19.000,-57 42 18.000,[DBS2003]_40
[DBS2003]_92,15 03 36.000,-57 40 48.000,[DBS2003]_92
[KPR2005]_59,10 20 28.000,-57 40 30.000,[KPR2005]_59
[KPS2012]_MWSC_2264,15 01 12.000,-57 39 54.000,[KPS2012]_MWSC_2264
IC_2581,10 27 28.080,-57 37 33.600,IC_2581
C_1546-575,15 49 38.400,-57 35 38.400,C_1546-575
[KPS2012]_MWSC_1953,11 31 40.000,-57 37 24.000,[KPS2012]_MWSC_1953
NGC_5715,14 43 26.160,-57 34 40.800,NGC_5715
[KPS2012]_MWSC_1741,10 00 00.000,-57 33 18.000,[KPS2012]_MWSC_1741
C_1112-573,11 14 29.520,-57 33 46.800,C_1112-573
[KPS2012]_MWSC_4349,17 27 02.000,-57 31 30.000,[KPS2012]_MWSC_4349
Cl_Ruprecht_91,10 47 51.360,-57 28 58.800,Cl_Ruprecht_91
NGC_6005,15 55 49.200,-57 26 20.400,NGC_6005
[FSR2007]_1527,10 06 32.000,-57 24 48.000,[FSR2007]_1527
[KPS2012]_MWSC_2058,12 39 23.000,-57 22 48.000,[KPS2012]_MWSC_2058
[FSR2007]_1530,10 08 51.840,-57 17 16.800,[FSR2007]_1530
[KPS2012]_MWSC_2054,12 37 35.000,-57 15 36.000,[KPS2012]_MWSC_2054
[KPS2012]_MWSC_4119,07 06 04.000,-57 13 48.000,[KPS2012]_MWSC_4119
[KPS2012]_MWSC_2017,12 21 14.000,-57 11 06.000,[KPS2012]_MWSC_2017
[KPS2012]_MWSC_2432,16 38 04.000,-57 05 42.000,[KPS2012]_MWSC_2432
[KPR2005]_55,09 54 00.000,-57 04 36.000,[KPR2005]_55
[DBS2003]_125,09 59 24.000,-57 04 12.000,[DBS2003]_125
IC_2488,09 27 25.680,-57 00 14.400,IC_2488
[KPS2012]_MWSC_2296,15 28 26.000,-56 59 48.000,[KPS2012]_MWSC_2296
Cl_Turner_7,14 32 15.000,-56 53 42.000,Cl_Turner_7
ESO_175-6,14 18 47.000,-56 53 24.000,ESO_175-6
C_1602-567,16 06 20.000,-56 52 00.000,C_1602-567
[KPR2005]_61,10 46 10.000,-56 50 24.000,[KPR2005]_61
[KPS2012]_MWSC_1935,11 20 22.000,-56 49 00.000,[KPS2012]_MWSC_1935
[KPS2012]_MWSC_2008,12 13 52.000,-56 47 06.000,[KPS2012]_MWSC_2008
[KPR2004b]_246,10 29 19.000,-56 46 48.000,[KPR2004b]_246
Cl_Loden_112,10 32 20.000,-56 41 42.000,Cl_Loden_112
[DBS2003]_93,15 18 52.000,-56 39 36.000,[DBS2003]_93
Cl_Lynga_5,15 41 50.880,-56 40 48.000,Cl_Lynga_5
[FSR2007]_1521,09 55 24.480,-56 36 18.000,[FSR2007]_1521
NGC_5662,14 34 56.160,-56 38 24.000,NGC_5662
Cl_Loden_27,10 11 02.000,-56 35 12.000,Cl_Loden_27
C_0942-563,09 43 48.480,-56 34 26.400,C_0942-563
[KPS2012]_MWSC_2274,15 06 42.000,-56 31 00.000,[KPS2012]_MWSC_2274
NGC_5999,15 52 11.040,-56 28 55.200,NGC_5999
C_0931-561,09 30 59.000,-56 25 48.000,C_0931-561
C_1225-561,12 28 26.000,-56 25 48.000,C_1225-561
NGC_3033,09 48 34.800,-56 24 54.000,NGC_3033
Cl_VDBH_92,10 19 06.960,-56 25 30.000,Cl_VDBH_92
Cl_Loden_189,10 50 28.000,-56 25 12.000,Cl_Loden_189
[DBS2003]_141,15 28 35.000,-56 22 30.000,[DBS2003]_141
[KPS2012]_MWSC_2109,13 19 47.000,-56 21 06.000,[KPS2012]_MWSC_2109
C_0920-560,09 21 56.640,-56 18 50.400,C_0920-560
C_0949-560,09 51 36.000,-56 18 36.000,C_0949-560
Cl_VDBH_58,09 10 12.000,-56 15 42.000,Cl_VDBH_58
[KPS2012]_MWSC_1689,09 33 56.000,-56 14 54.000,[KPS2012]_MWSC_1689
[KPS2012]_MWSC_2107,13 19 37.000,-56 10 48.000,[KPS2012]_MWSC_2107
[KPS2012]_MWSC_1789,10 18 59.000,-56 10 12.000,[KPS2012]_MWSC_1789
[KPS2012]_MWSC_2025,12 24 16.000,-56 09 54.000,[KPS2012]_MWSC_2025
[KPS2012]_MWSC_2233,14 34 37.000,-56 06 54.000,[KPS2012]_MWSC_2233
ESO_165-9,09 05 24.000,-55 56 18.000,ESO_165-9
NAME_SCHUSTER_CL,10 04 38.160,-55 51 25.200,NAME_SCHUSTER_CL
Cl_Loden_1,10 05 14.000,-55 48 18.000,Cl_Loden_1
[KPS2012]_MWSC_1716,09 48 36.000,-55 47 24.000,[KPS2012]_MWSC_1716
NGC_3960,11 50 34.560,-55 40 44.400,NGC_3960
NGC_5823,15 05 27.600,-55 36 28.800,NGC_5823
[KPR2005]_66,11 13 28.080,-55 26 13.200,[KPR2005]_66
C_1002-552,10 04 35.520,-55 23 09.600,C_1002-552
[SSW94]_c,10 41 25.000,-55 18 00.000,[SSW94]_c
Cl_Lynga_4,15 33 22.560,-55 14 02.400,Cl_Lynga_4
[KPS2012]_MWSC_1818,10 31 35.000,-55 09 00.000,[KPS2012]_MWSC_1818
C_0925-549,09 27 17.040,-55 07 08.400,C_0925-549
NGC_4230,12 17 20.000,-55 07 12.000,NGC_4230
[KPS2012]_MWSC_1714,09 48 01.440,-55 04 22.800,[KPS2012]_MWSC_1714
C_0959-548,10 01 26.400,-55 06 32.400,C_0959-548
[KPS2012]_MWSC_2311,15 41 58.000,-54 58 48.000,[KPS2012]_MWSC_2311
[KPR2005]_58,10 14 37.680,-55 00 03.600,[KPR2005]_58
C_1615-548,16 19 26.160,-54 57 25.200,C_1615-548
Cl_Loden_46,10 23 32.160,-54 40 01.200,Cl_Loden_46
[KPS2012]_MWSC_1732,09 57 00.000,-54 49 06.000,[KPS2012]_MWSC_1732
NGC_5593,14 25 40.560,-54 47 42.000,NGC_5593
NGC_3105,10 00 40.560,-54 47 24.000,NGC_3105
NAME_UKS_2,09 25 15.360,-54 43 08.400,NAME_UKS_2
C_0933-545,09 34 43.000,-54 42 00.000,C_0933-545
C_0956-543,09 57 41.760,-54 36 43.200,C_0956-543
Cl_Ruprecht_83,09 49 13.680,-54 36 39.600,Cl_Ruprecht_83
Cl_Loden_2115,15 07 43.000,-54 31 18.000,Cl_Loden_2115
NGC_5925,15 27 23.280,-54 30 54.000,NGC_5925
[KPS2012]_MWSC_1738,09 59 31.000,-54 30 36.000,[KPS2012]_MWSC_1738
NGC_5749,14 48 48.960,-54 30 07.200,NGC_5749
Teutsch_44,10 21 23.280,-54 27 00.000,Teutsch_44
[KPR2005]_54,09 44 47.000,-54 26 06.000,[KPR2005]_54
NGC_5822,15 04 12.240,-54 21 57.600,NGC_5822
[KPS2012]_MWSC_2338,15 57 29.000,-54 22 30.000,[KPS2012]_MWSC_2338
C_1050-539,10 52 38.000,-54 15 54.000,C_1050-539
[KPR2005]_52,09 27 59.000,-54 15 00.000,[KPR2005]_52
NGC_6067,16 13 11.760,-54 13 37.200,NGC_6067
[KPS2012]_MWSC_2100,13 16 28.000,-54 12 00.000,[KPS2012]_MWSC_2100
Cl_Moffat_1,16 01 35.280,-54 08 56.400,Cl_Moffat_1
NGC_3330,10 38 38.160,-54 08 52.800,NGC_3330
C_1028-538,10 30 16.000,-54 02 24.000,C_1028-538
NGC_6031,16 07 37.680,-54 00 50.400,NGC_6031
C_0943-537,09 45 41.040,-54 00 14.400,C_0943-537
[DBS2003]_94,15 42 18.000,-53 57 36.000,[DBS2003]_94
[KPS2012]_MWSC_1695,09 37 54.000,-53 57 12.000,[KPS2012]_MWSC_1695
[KPS2012]_MWSC_1201,07 23 37.000,-53 56 48.000,[KPS2012]_MWSC_1201
ESO_166-4,09 10 24.480,-53 53 02.400,ESO_166-4
ESO_168-4,10 30 56.000,-53 51 54.000,ESO_168-4
[KPS2012]_MWSC_5701,18 49 34.000,-53 51 36.000,
C_0939-536,09 41 02.160,-53 50 45.600,C_0939-536
[KPS2012]_MWSC_1931,11 18 34.000,-53 47 24.000,[KPS2012]_MWSC_1931
[FSR2007]_1716,16 10 32.160,-53 44 45.600,[FSR2007]_1716
NGC_6208,16 49 20.640,-53 42 50.400,NGC_6208
C_0927-534,09 29 07.680,-53 41 45.600,C_0927-534
[KPS2012]_MWSC_2227,14 32 20.000,-53 42 00.000,[KPS2012]_MWSC_2227
[KPS2012]_MWSC_4410,18 17 02.000,-53 41 24.000,[KPS2012]_MWSC_4410
C_1530-534,15 33 50.000,-53 40 48.000,C_1530-534
Cl_Trumpler_23,16 00 52.320,-53 32 20.400,Cl_Trumpler_23
[KPS2012]_MWSC_1902,11 09 11.000,-53 30 00.000,[KPS2012]_MWSC_1902
NGC_2925,09 33 17.040,-53 24 46.800,NGC_2925
C_0942-530,09 44 08.000,-53 19 30.000,C_0942-530
[KPS2012]_MWSC_2111,13 21 49.000,-53 14 18.000,[KPS2012]_MWSC_2111
NAME_Miller_1,09 25 41.000,-53 13 30.000,NAME_Miller_1
C_0949-529,09 51 14.880,-53 10 19.200,C_0949-529
[DBS2003]_39,09 24 25.000,-53 08 12.000,[DBS2003]_39
[KPS2012]_MWSC_2492,16 56 25.000,-53 04 18.000,[KPS2012]_MWSC_2492
C_0929-527,09 31 21.120,-53 02 24.000,C_0929-527
IC_2391,08 41 10.080,-52 59 27.600,IC_2391
NAME_Alessi_Teutsch_3,07 52 34.000,-52 59 42.000,NAME_Alessi_Teutsch_3
NGC_2669,08 46 26.640,-52 55 51.600,NGC_2669
[KPS2012]_MWSC_1698,09 38 54.960,-52 56 49.200,[KPS2012]_MWSC_1698
NGC_2910,09 30 34.320,-52 54 46.800,NGC_2910
Teutsch_48,09 20 33.000,-52 49 36.000,Teutsch_48
[KPR2005]_83,15 50 04.000,-52 47 24.000,[KPR2005]_83
C_0927-525,09 29 53.000,-52 46 48.000,C_0927-525
[KPS2012]_MWSC_1612,09 00 08.000,-52 42 42.000,[KPS2012]_MWSC_1612
NGC_6253,16 59 06.720,-52 42 43.200,NGC_6253
NGC_5764,14 53 33.360,-52 40 01.200,NGC_5764
NGC_6152,16 32 51.120,-52 37 44.400,NGC_6152
[FSR2007]_1712,15 54 43.000,-52 28 48.000,[FSR2007]_1712
Cl_Loden_2326,15 43 39.000,-52 28 12.000,Cl_Loden_2326
Cl_Loden_2313,15 40 57.000,-52 27 36.000,Cl_Loden_2313
Cl_Ruprecht_115,16 12 51.600,-52 23 34.800,Cl_Ruprecht_115
[KPS2012]_MWSC_2318,15 46 15.000,-52 22 42.000,[KPS2012]_MWSC_2318
Teutsch_66,09 33 28.320,-52 22 51.600,Teutsch_66
C_1447-520,14 50 51.840,-52 16 15.600,C_1447-520
[KPS2012]_MWSC_1937,11 21 59.000,-52 15 18.000,[KPS2012]_MWSC_1937
[KPS2012]_MWSC_1704,09 42 59.000,-52 07 00.000,[KPS2012]_MWSC_1704
ESO_211-1,08 47 13.000,-52 03 54.000,ESO_211-1
[DBS2003]_156,16 12 15.000,-52 02 48.000,[DBS2003]_156
C_1619-518,16 23 24.000,-52 00 00.000,C_1619-518
[KPS2012]_MWSC_1659,09 22 03.000,-51 58 00.000,[KPS2012]_MWSC_1659
NGC_6115,16 24 43.000,-51 56 24.000,NGC_6115
Cl_Lynga_6,16 04 52.320,-51 57 36.000,Cl_Lynga_6
NGC_5800,15 01 47.000,-51 55 00.000,NGC_5800
C_1619-517,16 23 33.120,-51 52 44.400,C_1619-517
Cl_Pismis_22,16 14 12.480,-51 52 08.400,Cl_Pismis_22
ESO_236-7,21 21 58.000,-51 51 54.000,ESO_236-7
[DBS2003]_157,16 12 20.000,-51 46 18.000,[DBS2003]_157
[KPS2012]_MWSC_4429,18 35 35.000,-51 44 42.000,[KPS2012]_MWSC_4429
NGC_3228,10 21 30.720,-51 48 50.400,NGC_3228
ESO_229-2,17 59 40.000,-51 41 42.000,ESO_229-2
C_0922-515,09 24 18.480,-51 39 03.600,C_0922-515
C_1004-513,10 06 16.000,-51 35 42.000,C_1004-513
[FSR2007]_1740,17 49 17.000,-51 32 42.000,[FSR2007]_1740
[DBS2003]_158,16 11 11.000,-51 31 30.000,[DBS2003]_158
C_1624-514,16 28 09.360,-51 30 00.000,C_1624-514
ESO_231-30,19 17 02.000,-51 28 48.000,ESO_231-30
[DBS2003]_144,16 12 10.000,-51 28 30.000,[DBS2003]_144
[KPS2012]_MWSC_2018,12 21 52.000,-51 28 12.000,[KPS2012]_MWSC_2018
Cl_Ruprecht_176,16 14 42.240,-51 19 55.200,Cl_Ruprecht_176
C_0925-511,09 26 44.880,-51 16 22.800,C_0925-511
[KPR2004b]_362,15 29 37.920,-51 13 37.200,[KPR2004b]_362
[KPS2012]_MWSC_5670,07 03 25.000,-51 12 18.000,
[KPS2012]_MWSC_1687,09 33 16.000,-51 11 42.000,[KPS2012]_MWSC_1687
ESO_226-6,16 24 09.600,-51 09 03.600,ESO_226-6
NGC_2866,09 22 06.240,-51 06 00.000,NGC_2866
[KPS2012]_MWSC_1445,08 11 33.000,-51 01 12.000,[KPS2012]_MWSC_1445
[KPR2005]_81,15 46 46.000,-50 59 42.000,[KPR2005]_81
C_1631-508,16 35 10.080,-50 59 24.000,C_1631-508
[KPS2012]_MWSC_1441,08 10 52.000,-50 59 06.000,[KPS2012]_MWSC_1441
Mamajek_4,18 26 32.400,-50 46 19.200,
C_0952-504,09 54 43.000,-50 55 30.000,C_0952-504
C_0859-507,09 01 10.000,-50 55 00.000,C_0859-507
[DBS2003]_100,16 20 25.440,-50 54 07.200,[DBS2003]_100
[DBS2003]_161,16 17 05.000,-50 47 30.000,[DBS2003]_161
[KPS2012]_MWSC_1705,09 43 36.480,-50 47 49.200,[KPS2012]_MWSC_1705
ESO_226-22,16 46 03.000,-50 44 24.000,ESO_226-22
[DBS2003]_159,16 06 23.000,-50 43 30.000,[DBS2003]_159
C_1013-504,10 15 29.000,-50 42 36.000,C_1013-504
[DBS2003]_162,16 20 28.000,-50 41 42.000,[DBS2003]_162
[KPS2012]_MWSC_1677,09 29 48.480,-50 41 49.200,[KPS2012]_MWSC_1677
[KPS2012]_MWSC_2169,13 50 08.000,-50 40 00.000,[KPS2012]_MWSC_2169
[KPS2012]_MWSC_2322,15 49 26.000,-50 36 12.000,[KPS2012]_MWSC_2322
Cl_Alessi_34,08 01 55.000,-50 34 48.000,Cl_Alessi_34
Cl_Hogg_1,09 40 33.000,-50 34 48.000,Cl_Hogg_1
[DBS2003]_99,16 13 01.000,-50 23 24.000,[DBS2003]_99
NGC_2972,09 40 13.920,-50 19 33.600,NGC_2972
[DBS2003]_163,16 18 43.000,-50 19 00.000,[DBS2003]_163
ESO_211-9,09 16 44.640,-50 17 06.000,ESO_211-9
[KPS2012]_MWSC_1730,09 56 24.000,-50 16 12.000,[KPS2012]_MWSC_1730
ESO_211-3,08 51 35.280,-50 15 10.800,ESO_211-3
Cl_Lynga_8,16 20 04.000,-50 13 00.000,Cl_Lynga_8
C_0930-499,09 31 55.440,-50 13 30.000,C_0930-499
[KPS2012]_MWSC_2321,15 48 40.000,-50 12 54.000,[KPS2012]_MWSC_2321
[DBS2003]_164,16 19 25.000,-50 09 00.000,[DBS2003]_164
[KPS2012]_MWSC_2420,16 30 25.000,-50 07 30.000,[KPS2012]_MWSC_2420
[KPS2012]_MWSC_1511,08 36 58.320,-50 02 42.000,[KPS2012]_MWSC_1511
NAME_HD_80077_Group,09 15 53.760,-50 00 21.600,NAME_HD_80077_Group
[DBS2003]_166,16 21 31.000,-50 00 36.000,[DBS2003]_166
IC_4651,17 24 50.880,-49 55 01.200,IC_4651
[KPS2012]_MWSC_4545,20 07 50.000,-49 51 36.000,[KPS2012]_MWSC_4545
[DBS2003]_102,16 15 01.000,-49 51 00.000,[DBS2003]_102
NGC_6167,16 34 38.880,-49 45 32.400,NGC_6167
[KPS2012]_MWSC_2195,14 00 18.000,-49 45 54.000,[KPS2012]_MWSC_2195
[KPS2012]_MWSC_2419,16 29 49.000,-49 45 06.000,[KPS2012]_MWSC_2419
[KPS2012]_MWSC_1640,09 14 40.000,-49 44 42.000,[KPS2012]_MWSC_1640
[DBS2003]_170,16 28 59.000,-49 36 12.000,[DBS2003]_170
Cl_VDBH_85,10 01 52.560,-49 33 50.400,Cl_VDBH_85
[DBS2003]_167,16 23 26.000,-49 32 42.000,[DBS2003]_167
[KPS2012]_MWSC_2328,15 53 46.000,-49 30 36.000,[KPS2012]_MWSC_2328
[KPS2012]_MWSC_2485,16 55 07.000,-49 19 30.000,[KPS2012]_MWSC_2485
ESO_212-2,09 20 39.000,-49 13 00.000,ESO_212-2
NGC_2547,08 10 06.000,-49 11 52.800,NGC_2547
[FSR2007]_1695,14 33 38.000,-49 09 54.000,[FSR2007]_1695
NGC_6134,16 27 48.720,-49 09 39.600,NGC_6134
Cl_Hogg_19,16 28 56.640,-49 06 36.000,Cl_Hogg_19
Ass_Nor_OB_5,16 10 31.440,-49 00 50.400,Ass_Nor_OB_5
C_0858-487,09 00 28.560,-48 59 02.400,C_0858-487
Cl_Pismis_23,16 23 57.600,-48 53 27.600,Cl_Pismis_23
NGC_2670,08 45 32.640,-48 48 03.600,NGC_2670
NGC_6193,16 41 16.560,-48 46 37.200,NGC_6193
Cl_Lynga_9,16 20 40.800,-48 31 22.800,Cl_Lynga_9
[KPS2012]_MWSC_1584,08 51 07.000,-48 28 36.000,[KPS2012]_MWSC_1584
[KPS2012]_MWSC_2034,12 27 52.000,-48 28 30.000,[KPS2012]_MWSC_2034
[KPR2005]_46,08 16 23.000,-48 28 12.000,[KPR2005]_46
NGC_5460,14 07 23.280,-48 17 06.000,NGC_5460
Cl_Ruprecht_120,16 35 10.000,-48 18 00.000,Cl_Ruprecht_120
C_0831-481,08 32 40.560,-48 18 14.400,C_0831-481
NGC_3909,11 50 06.000,-48 12 36.000,NGC_3909
IC_2395,08 42 07.440,-48 05 24.000,IC_2395
C_1701-481,17 03 59.760,-48 05 24.000,C_1701-481
[KPS2012]_MWSC_1635,09 11 47.000,-48 04 12.000,[KPS2012]_MWSC_1635
C_0932-479,09 34 44.160,-48 02 24.000,C_0932-479
[DBS2003]_36,09 16 48.000,-47 56 42.000,[DBS2003]_36
[KPS2012]_MWSC_1597,08 53 19.680,-47 52 15.600,[KPS2012]_MWSC_1597
[KPS2012]_MWSC_1242,07 29 22.000,-47 51 12.000,[KPS2012]_MWSC_1242
[KPS2012]_MWSC_1628,09 07 41.280,-47 49 37.200,[KPS2012]_MWSC_1628
[DBS2003]_34,09 03 11.000,-47 49 00.000,[DBS2003]_34
[KPS2012]_MWSC_1468,08 18 50.640,-47 47 09.600,[KPS2012]_MWSC_1468
Cl_Hogg_21,16 45 39.360,-47 44 49.200,Cl_Hogg_21
