Simbad_ID,Name_webda,RA_2000_webda,Dec_2000_webda,l_webda,b_webda,Dist_webda,Mod_webda,EB-V_webda,Age_webda,ST_webda,Z_webda,Diam_webda,Fe/H_webda,MRV_webda,pm RA_webda,pm Dec_webda,Measures_webda,Stars_webda
NGC_2367,NGC_2367,07 20 06,-21 52 54,235.59599999999998,-3.8369999999999997,2004.0,12.54,0.331,6.737,B3,-134.1,5.0,,41.0,,,1678,1568
Cl_Berkeley_37,Berkeley_37,07 20 24,-01 06 00,217.23,5.935,4555.0,13.65,0.12,8.95,,471.0,4.0,,,,,1652,1652
Cl_Berkeley_77,Berkeley_77,07 21 27,-03 14 01,219.253,5.181,4630.0,13.7,0.12,8.8,,418.1,5.0,,,,,1359,1359
C_0719-008,King_23,07 21 48,-00 59 00,215.52900000000002,7.202000000000001,3113.0,12.95,0.16,8.95,,390.3,5.0,,,,,446,446
ESO_428-24,Haffner_7,07 22 55,-29 30 00,242.673,-6.803999999999999,4500.0,13.67,0.13,9.18,,533.1,3.0,,,,,8319,8319
C_0722-321,Collinder_140,07 23 12,-32 02 00,244.93,-7.591,405.0,8.13,0.03,7.547999999999999,B3,-53.5,29.0,-0.1,10.5,-7.33,2.7,17,15
C_0721-122,Haffner_8,07 23 24,-12 20 00,227.533,1.345,1182.0,10.46,0.03,9.15,,27.7,5.0,0.06,,,,17,17
NGC_2374,NGC_2374,07 23 56,-13 15 48,228.415,1.02,1468.0,11.11,0.09,8.463,,26.1,12.0,,27.2,-4.65,-1.1,36,29
C_0722-169,Haffner_9,07 24 30,-17 00 00,231.771,-0.628,,,,,,,4.0,,,,,7342,7342
C_0722-261,Ruprecht_18,07 24 39,-26 13 00,239.928,-4.941,1056.0,12.29,0.7,7.648,,-91.0,7.0,-0.01,,,,16,16
NGC_2383,NGC_2383,07 24 40,-20 56 54,235.27,-2.461,1655.0,11.75,0.213,7.167000000000001,A3,-71.1,5.0,,,,,11,11
NGC_2384,NGC_2384,07 25 10,-21 01 18,235.39,-2.3930000000000002,2116.0,12.42,0.255,6.904,B0,-88.4,5.0,,51.0,,,226,211
Cl_Waterloo_7,Waterloo_7,07 26 08,-15 05 36,230.27900000000002,0.622,2800.0,13.54,0.42,,,30.4,2.6,,,,,13,13
Cl_Melotte_66,Melotte_66,07 26 23,-47 40 00,259.559,-14.244000000000002,4313.0,13.62,0.14300000000000002,9.445,A0,-1061.2,14.0,-0.35,23.0,,,6,6
C_0724-287,Ruprecht_20,07 26 43,-28 49 00,242.451,-5.752000000000001,1208.0,10.72,0.1,8.5,,-121.1,5.0,,,,,11,11
[KPR2005]_38,ASCC_38,07 27 10,-05 33 00,221.97,5.36,500.0,8.71,0.07,8.6,,46.7,31.2,,,-6.44,1.34,39,39
NGC_2395,NGC_2395,07 27 12,+13 36 30,204.605,13.988,512.0,8.92,0.12,9.07,,123.8,14.0,,,-3.36,-6.02,216,168
Cl_Trumpler_7,Trumpler_7,07 27 22,-23 57 00,238.213,-3.332,1474.0,11.67,0.266,7.43,,-85.7,5.0,,34.0,,,138,122
NGC_2396,NGC_2396,07 28 01,-11 43 12,227.52,2.63,588.0,9.0,0.05,8.52,,27.0,26.4,,17.7,-2.0,-1.4,51,51
C_0726-153,Czernik_29,07 28 18,-15 24 00,230.798,0.935,4168.0,14.59,0.48,8.3,,68.0,5.0,,,,,654,654
C_0726-152,Haffner_10,07 28 36,-15 23 00,230.817,1.0070000000000001,3700.0,15.21,0.52,9.4,,65.0,3.0,,,,,1480,999
NGC_2394,NGC_2394,07 28 36,+07 05 12,210.783,11.469000000000001,660.0,9.25,0.05,9.05,,131.1,8.0,,,,,131,131
NGC_2401,NGC_2401,07 29 24,-13 58 00,229.665,1.854,6300.0,15.11,0.36,7.4,,203.8,2.0,,,,,3261,3261
NGC_2409,Bochum_4,07 31 37,-17 11 36,232.753,0.774,2291.0,13.75,0.63,7.0,,30.9,5.0,,,-2.59,0.8,25,25
[KPR2005]_39,ASCC_39,07 33 00,-22 57 00,237.95,-1.72,1500.0,10.88,0.0,8.71,,-45.0,36.0,,,-3.37,1.85,61,61
NGC_2414,NGC_2414,07 33 12,-15 27 12,231.412,1.946,3455.0,14.27,0.508,6.976,,117.3,5.0,,64.5,-3.44,0.66,165,133
[KPR2005]_40,ASCC_40,07 33 35,-13 45 36,229.97,2.84,700.0,9.57,0.11,8.58,,34.7,21.6,,,-2.07,2.7,36,36
ESO_429-3,Haffner_11,07 35 25,-27 43 00,242.395,-3.5439999999999996,6100.0,15.7,0.57,8.7,,-377.1,5.0,,,,,7665,7665
NGC_2421,NGC_2421,07 36 13,-20 36 42,236.271,0.069,2181.0,13.1,0.45299999999999996,7.367000000000001,,2.6,7.0,,,,,22,22
NGC_2422,NGC_2422,07 36 35,-14 29 00,230.958,3.13,490.0,8.67,0.07,7.861000000000001,B3,26.8,25.0,,,-7.15,1.1,1310,1299
NGC_2423,NGC_2423,07 37 06,-13 52 18,230.484,3.537,766.0,9.72,0.09699999999999999,8.867,B5,47.3,12.0,0.14,18.1,0.55,-2.5,57,46
Cl_Ruprecht_26,Ruprecht_26,07 37 11,-15 38 59,232.05,2.69,1440.0,11.1,0.1,7.49,,67.6,24.0,,15.0,-3.38,-1.34,46,46
Cl_Melotte_71,Melotte_71,07 37 30,-12 04 00,228.949,4.498,3154.0,12.84,0.113,8.371,,247.4,7.0,-0.3,,,,42,42
C_0735-264,Ruprecht_27,07 37 30,-26 31 48,241.58,-2.57,560.0,9.21,0.15,8.41,,-25.1,21.6,,,-3.65,2.65,29,29
NGC_2425,NGC_2425,07 38 22,-14 52 54,231.5,3.31,3400.0,13.62,0.31,9.4,,196.3,5.0,,,,,5980,3760
NGC_2420,NGC_2420,07 38 23,+21 34 24,198.107,19.634,3085.0,12.54,0.028999999999999998,9.048,,1036.6,5.0,-0.26,84.0,,,217,217
NGC_2428,NGC_2428,07 39 25,-16 31 48,233.08,2.72,2100.0,11.77,0.05,8.68,,99.7,14.4,,,-2.02,1.12,23,23
NGC_2430,NGC_2430,07 39 35,-16 21 00,232.94,2.85,650.0,9.59,0.17,8.68,,32.3,14.4,,,-4.07,1.28,17,17
ESO_493-3,ESO_493-03,07 39 45,-27 17 36,242.49400000000003,-2.499,1400.0,11.04,0.1,8.6,,-61.3,18.0,,,0.44,2.31,19,19
Cl_Bochum_15,Bochum_15,07 40 06,-33 32 00,247.988,-5.483,2806.0,14.03,0.5760000000000001,6.742000000000001,,-268.1,3.0,,,,,38,38
C_0738-300,Haffner_13,07 40 30,-30 04 47,245.0,-3.73,714.0,9.42,0.05,7.51,B9,-46.4,57.6,,68.0,-6.44,5.4,114,114
NGC_2439,NGC_2439,07 40 45,-31 41 36,246.442,-4.467,3855.0,14.19,0.40700000000000003,7.251,B2,-300.2,9.0,,68.0,-2.22,3.13,416,294
NGC_2432,NGC_2432,07 41 16,-19 08 59,235.58,1.82,2030.0,11.91,0.12,8.18,,64.5,24.0,,14.4,-3.68,1.62,30,30
Cl_Ruprecht_151,Ruprecht_151,07 41 16,-16 17 24,233.09,3.23,2100.0,12.23,0.2,8.49,,118.3,24.0,,,-4.3,2.1,35,35
NGC_2437,NGC_2437,07 41 46,-14 48 36,231.858,4.064,1375.0,11.17,0.154,8.39,B9,97.4,20.0,0.05,48.1,-4.54,0.58,1271,1167
C_0740-354,Ruprecht_31,07 42 57,-35 35 59,250.09,-5.98,480.0,8.69,0.09,8.56,,-50.0,15.6,,,-4.73,2.2,11,11
