#name logM[Msun] rtP[pc] log(t[yr])K rcK[pc] rtK[pc] Rhm[pc] [Fe/H]K
#-------------------------------------------------------------------
Aveni-Hunter_1           2.550    10.000     8.186     2.960     4.910    -9.999 99.999
Basel_11B                2.586    11.600     8.980     1.010     5.180     1.555 99.999
Basel_8                  2.939    14.800     7.925     0.970     7.950     2.270 99.999
Basel_11A                2.302     8.900     7.420     1.890     8.260     2.523 99.999
Basel_17                 2.065     6.600     7.975     0.900     4.380     1.323 99.999
Basel_18                 3.276    15.800     7.920     1.310    10.930     3.115  0.043
Basel_5                  1.989     6.000     8.850     0.710     5.340     1.539 99.999
Berkeley_58              3.380    22.900     8.470     1.120    13.660     3.738 99.999
Berkeley_59              2.221     8.000     6.100     0.550     6.510     1.787 99.999
Berkeley_4               3.803    31.200     7.300     1.760    17.160     4.810 99.999
Berkeley_14A             3.874    29.800     6.970     7.740    12.160    -9.999 99.999
Berkeley_86              1.864     5.700     6.800     0.710     4.400     1.295 99.999
Biurakan_1               2.991    13.500     7.035     3.980     8.960    -9.999 99.999
Biurakan_2               2.135     7.000     7.230     1.610     6.510     2.005 99.999
Blanco_1                 3.480    20.000     7.750     2.820    10.930     3.382 -0.188
Bochum_5                 3.261    19.100     7.400     0.980     3.840     1.187 -0.171
Bochum_4                 1.020     3.200     8.410     1.740     3.920    -9.999 99.999
Bochum_7                 4.929    74.800     7.500     1.610    26.290     6.973 99.999
Bochum_9                 1.823     5.600     8.090     1.280     4.330     1.359 99.999
Bochum_10                3.345    17.600     6.930     2.480     9.990     3.078 99.999
Bochum_12                2.830    11.800     7.995     0.660    10.210     2.724 99.999
Bochum_13                2.475     8.600     7.250     0.410     6.480     1.725 99.999
Cep_OB3                  4.037    31.600     7.750     1.100     7.120     2.085 99.999
Collinder_463            3.279    17.900     8.450     3.730    10.470    -9.999 99.999
Collinder_33             2.748    12.200     8.347     0.750     8.210     2.273 99.999
Collinder_65             3.824    26.900     8.065     6.740    16.360    -9.999 99.999
Collinder_69             2.178     7.700     6.760     1.210     4.500     1.399 99.999
Collinder_70             3.454    20.300     7.400     2.330     6.810    -9.999  0.144
Collinder_89             3.171    17.000     7.825     1.810     8.410     2.552 99.999
Collinder_95             1.125     3.400     7.300     0.860     2.590    -9.999 99.999
Collinder_97             1.962     6.500     8.400     2.260     5.580    -9.999 99.999
Collinder_106            4.038    35.100     6.415     2.030    14.410     4.179 99.999
Collinder_107            1.988     7.200     7.165     1.870     6.580     2.057 99.999
Collinder_121            3.641    24.100     7.080     5.740    11.610    -9.999 99.999
Collinder_132            1.182     3.500     7.510     1.080     2.580    -9.999 99.999
Collinder_135            2.736    11.500     7.600     2.100     4.020    -9.999 -0.219
Collinder_140            2.062     6.900     7.700     4.050     4.730    -9.999 -0.100
Collinder_185            2.159     7.600     8.180     1.120     5.210     1.581 99.999
Collinder_205            2.432     9.100     7.030     0.340     5.010     1.343 99.999
Collinder_213            2.227     7.700     8.870     0.650     8.460     2.299 99.999
Collinder_223            2.902    12.600     8.200     1.640     4.750    -9.999 -0.217
Collinder_228            3.746    24.000     6.680     3.510    18.730     5.600 99.999
Collinder_236            2.019     6.400     8.450     2.990     4.960    -9.999  0.042
Collinder_258            2.362     8.200     8.350     0.900     8.580     2.411 99.999
Collinder_269            2.473     8.800     8.550     1.050    11.730     3.240 99.999
Collinder_272            3.156    14.500     7.020     1.100    10.230     2.882 99.999
Collinder_292            2.988    12.600     8.700     1.750     5.740     1.808 99.999
Collinder_333            1.782     5.100     8.150     1.010     3.980     1.229 99.999
Collinder_338            2.475     8.700     8.050     1.850     5.100    -9.999 99.999
Collinder_350            1.822     5.500     8.710     1.580     4.800    -9.999 99.999
Collinder_359            3.870    26.000     7.450     2.830     7.820    -9.999 99.999
Collinder_367            3.503    18.700     7.295     0.000     0.000    -9.999 99.999
Collinder_394            2.832    11.600     7.860     2.950     5.430    -9.999 99.999
Collinder_419            2.169     7.300     7.100     0.490     6.530     1.770 99.999
Collinder_421            1.295     3.700     9.080     0.860     4.390     1.319 99.999
Cyg_OB2                  4.495    43.400     6.720     5.180    16.470     5.205 99.999
Czernik_43               3.356    20.400     7.760     0.900    11.130     3.041 99.999
Dias_5                   2.966    12.000     8.100     1.950     5.080    -9.999 99.999
Dolidze_36               2.072     6.700     8.920     0.410     4.280     1.191 99.999
Dolidze_38               2.481     9.200     9.165     5.990    10.520    -9.999 99.999
ESO_493-03               2.384     9.200     8.385     2.000     7.100     2.218 99.999
ESO_123-26               1.755     5.300     8.530     0.950     5.540     1.641 99.999
ESO_430-18               1.902     6.200     8.875     1.260     6.420     1.929 99.999
ESO_165-09               0.693     2.400     8.915     0.330     3.640     1.007 99.999
ESO_166-04               1.778     5.400     8.260     1.530     3.910    -9.999 99.999
ESO_062-11               0.916     2.700     9.080     1.150     7.800     2.273 99.999
ESO_128-16               1.860     5.700     8.840     0.270     4.750     1.250 99.999
ESO_130-06               3.215    15.500     7.300     0.600     6.450     1.789 -0.706
ESO_130-08               1.930     6.000     9.010     1.590     4.780    -9.999 -0.250
ESO_175-06               1.259     3.600     8.600     0.350     3.180     0.898 99.999
ESO_332-08               1.732     4.800     8.170     1.320     4.990     1.548 99.999
ESO_139-13               1.481     3.900     8.780     0.830     7.670     2.162 -0.320
ESO_521-38               2.275     7.000     8.395     1.550     3.550    -9.999 99.999
Feinstein_1              3.611    21.700     7.200     5.070     8.240    -9.999 99.999
Frolov_1                 3.078    16.700     7.588     0.240     6.010     1.523 99.999
Haffner_23               2.109     7.400     8.825     1.640     6.350     1.965 99.999
Haffner_13               2.735    11.700     7.520     2.170     5.690    -9.999 99.999
Haffner_16               3.096    17.800     7.300     0.840     4.520     1.350 -0.111
Haffner_26               1.400     4.200     8.000     1.930     6.790     2.123 99.999
Harvard_10               3.942    26.400     7.970     6.550    13.430    -9.999 99.999
Hogg_6                   1.939     6.100     8.505     0.640     4.160     1.218 99.999
Hogg_23                  2.071     6.500     8.310     2.250     4.330    -9.999 99.999
Hogg_16                  1.456     4.000     7.950     1.110     9.840     2.786 99.999
Hogg_18                  2.232     7.100     7.950     0.300     6.300     1.626 99.999
Hogg_22                  1.925     5.600     6.800     0.000     0.000    -9.999 99.999
IC_1590                  1.723     6.000     6.895     1.110    14.600     3.963 99.999
IC_1805                  3.357    20.700     7.250     1.880    12.910     3.757 99.999
IC_1848                  3.970    33.700     6.850     1.670     9.460     2.810 99.999
IC_348                   0.670     2.400     6.780     0.440     3.660     1.043 99.999
IC_2391                  1.967     6.300     8.050     1.540     2.520    -9.999 -0.155
IC_2395                  2.503     9.600     7.270     0.530     4.510     1.283  0.000
IC_2488                  3.008    13.900     8.445     2.860     6.620    -9.999  0.100
IC_2581                  3.331    17.600     7.320     0.810    10.400     2.830 -0.340
IC_2602                  2.829    12.200     8.345     0.000     0.000    -9.999 -0.099
IC_2714                  2.235     7.500     8.650     1.830     6.300     1.974  0.010
IC_2944                  3.430    18.500     6.250     2.370    10.240     3.132 99.999
IC_2948                  2.920    12.400     6.600     6.030    15.060    -9.999 99.999
IC_4651                  2.085     6.500     9.250     1.130     6.060     1.811 -0.128
IC_4665                  2.681    10.700     7.630     3.670     5.430    -9.999 -0.030
IC_4725                  3.044    13.700     7.970     2.930     5.340    -9.999 -0.257
IC_4756                  3.112    14.700     8.790     6.980     9.060    -9.999 -0.150
IC_4996                  3.042    14.100     7.150     3.290    10.660     3.362 99.999
IC_1396                  3.439    19.800     6.000     5.510     8.910    -9.999 99.999
IC_1442                  3.559    22.800     7.600     0.830     9.920     2.720 99.999
King_6                   0.463     2.000     8.975     0.670     4.410     1.289  0.460
King_12                  3.091    16.700     7.145     0.490     7.850     2.086 99.999
Loden_28                 4.415    41.500     7.405     1.260    13.040     3.632 99.999
Loden_1                  0.823     2.600     8.300     0.540     2.120     0.655 99.999
Loden_46                 2.100     6.900     8.000     0.640     5.090     1.458 99.999
Loden_143                2.595    10.100     8.450     2.810     5.060    -9.999 99.999
Loden_89                 1.551     4.500     8.300     0.570     3.360     0.994 99.999
Loden_59                 1.512     4.400     8.300     0.520     2.170     0.666 99.999
Loden_112                3.456    19.300     6.960     2.780    12.350     3.766 99.999
Loden_153                3.181    15.600     6.300     3.100     8.780    -9.999  0.191
Loden_189                2.459     9.100     7.990     0.750     6.020     1.723  0.202
Loden_306                3.369    17.800     6.760     7.440    11.980    -9.999 99.999
Loden_309                0.913     2.800     8.050     0.600     3.470     1.029 99.999
Loden_372                1.742     5.100     8.320     1.430     4.340    -9.999 99.999
Loden_402                3.517    19.700     8.400     4.910     8.980    -9.999 99.999
Loden_481                3.432    18.600     8.385     1.490     9.460     2.776 99.999
Loden_480                2.166     7.100     8.700     0.490     5.260     1.459 99.999
Loden_565                1.877     5.800     8.375     1.110     3.780     1.186 99.999
Loden_615                2.088     6.700     8.630     2.370     5.840    -9.999 99.999
Loden_682                1.858     5.600     8.470     0.590     3.860     1.129 99.999
Loden_694                3.866    25.500     7.380     0.000     0.000    -9.999 99.999
Loden_821                3.968    26.500     7.455     6.420    16.190    -9.999 -0.099
Loden_807                1.981     6.100     8.300     2.070     3.650    -9.999 99.999
Loden_915                1.574     4.600     8.445     1.770     5.150    -9.999 99.999
Loden_1010               2.308     7.900     8.825     0.310     4.820     1.285 99.999
Loden_995                3.994    27.100     8.625     2.440     7.140    -9.999 -0.131
Loden_1171               0.552     2.100     8.590     0.580     3.230     0.961 99.999
Loden_1194               1.332     3.800     8.705     0.440     3.170     0.918 99.999
Loden_1225               2.787    11.000     8.670     2.490     9.000     2.806 99.999
Loden_1256               2.964    12.700     8.580     2.550     6.020    -9.999 99.999
Loden_2313               2.825    11.200     8.290     2.400     5.370    -9.999 99.999
Lynga_1                  3.206    14.800     8.390     1.040     6.670     1.955 99.999
Lynga_2                  2.203     7.200     8.430     1.100     5.810     1.739 99.999
Lynga_7                  1.998     6.100    10.050     2.840    22.550     6.461 -1.010
Mamajek_1               -0.373     1.000     6.990     0.100     0.840     0.239 99.999
Markarian_38             2.466     8.300     6.900     3.400     9.930    -9.999  0.180
Mayer_1                  3.150    16.700     7.740     0.570     6.890     1.887 99.999
Melotte_20               3.863    27.400     7.700     3.490    21.650     6.369 99.999
Melotte_22               2.672    10.900     8.150     2.160    16.530     4.755 -0.036
Melotte_71               3.020    17.600     8.975     2.120    20.920     5.856 -0.220
Melotte_101              3.262    16.400     8.100     2.380    13.210     3.933 99.999
Melotte_111              2.516     9.600     8.840     0.000     0.000    -9.999  0.070
NGC_129                  3.011    15.200     7.975     2.290     7.260     2.295 99.999
NGC_146                  3.298    20.800     7.701     2.170    12.710     3.762 99.999
NGC_225                  1.787     5.700     8.191     0.260     3.580     0.967 99.999
NGC_381                  1.515     4.700     8.850     0.600     6.620     1.831  0.070
NGC_433                  2.682    12.200     7.810     1.560     5.820     1.808 99.999
NGC_457                  3.299    20.300     7.380     2.600    10.310     3.182 99.999
NGC_581                  2.245     8.900     7.440     1.080    11.840     3.277 99.999
NGC_637                  1.926     7.000     6.740     0.530     9.720     2.546 99.999
NGC_654                  2.096     7.900     7.250     0.610    10.000     2.651 99.999
NGC_659                  2.024     7.400     7.762     0.790    10.680     2.890 99.999
NGC_663                  3.523    23.400     7.500     2.290    14.210     4.180 99.999
NGC_752                  3.258    17.400     9.130     3.070    13.830     4.211 -0.088
NGC_744                  2.335     9.000     8.375     0.820    13.090     3.480 99.999
NGC_869                  6.022   162.900     7.280    11.270    32.250    -9.999 -0.300
NGC_884                  6.200   191.000     7.200     2.430    39.420    10.462 -0.300
NGC_886                  2.632    11.700     8.750     0.590     5.500     1.549 99.999
NGC_957                  2.848    14.000     7.250     2.010    14.730     4.257 99.999
NGC_1039                 1.827     5.800     8.383     2.370     8.220     2.574  0.070
NGC_1027                 2.035     7.000     8.550     1.460     5.740     1.773 99.999
NGC_1342                 2.186     7.800     8.600     1.010     5.240     1.571 -0.160
NGC_1502                 1.911     6.400     7.080     0.720     5.750     1.646 99.999
NGC_1528                 2.684    11.600     8.550     1.660     8.740     2.617 99.999
NGC_1545                 1.756     5.700     8.810     0.500     2.910     0.862 -0.060
NGC_1582                 2.412     9.300     8.665     6.300    10.700    -9.999 99.999
NGC_1647                 2.543    10.200     8.300     2.310     9.360     2.882 99.999
NGC_1662                 1.920     6.300     8.695     0.670     4.440     1.297 -0.095
NGC_1664                 2.958    14.900     8.750     1.870     9.280     2.796 99.999
