Name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec,Measures,Stars
vdBergh-Hagen 56,08 57 07,-43 15 00,264.48,1.46,680,9.78,0.20,7.24,,17.3,36.0,,-18.00,-4.88,+06.08,52,52
Collinder 205,09 00 32,-48 59 00,269.209,-1.843,1853,13.66,0.75,7.20,,-59.6,5.0,,+8.5,-3.86,+6.50,9,8
ESO 165-09,09 05 13,-55 57 35,274.923,-5.928,450,8.42,0.05,8.96,,-46.5,18.0,,,-10.15,10.47,20,20
ESO 166-04,09 10 30,-53 53 12,273.897,-3.971,885,10.20,0.15,8.45,,-61.3,19.0,,,-7.14,7.91,23,23
Pismis 11,09 15 53,-50 01 00,271.657,-0.708,2800,16.11,1.25,7.34,,-34.6,2.0,,,,,555,428
NGC 2818,09 16 01,-36 37 30,261.980,8.584,1855,11.72,0.121,8.626,,276.9,9.0,-0.17,+20.69,,,875,875
Alicante 5,09 16 30,-49 43 00,271.510,-0.428,3600,16.50,1.20,7.00,,-26.9,8.0,,,,,105,105
ASCC 51,09 18 00,-69 41 24,286.24,-14.08,500,8.65,0.05,8.53,,-121.6,79.2,,,-8.28,+7.00,172,172
Pismis 12,09 20 00,-45 07 00,268.640,3.216,,,,,,,5.0,,,,,14,14
vdBergh-Hagen 63,09 20 39,-49 13 23,271.631,0.399,2300,17.70,1.90,8.85,,16.0,2.0,,,,,111,111
NGC 2866,09 22 07,-51 06 00,273.123,-0.764,1901,13.34,0.628,7.656,,-25.3,2.0,,,,,23,23
Ruprecht 76,09 24 13,-51 40 00,273.754,-0.937,1262,11.67,0.376,7.734,,-20.6,5.0,,,,,7,7
vdBergh-Hagen 66,09 25 18,-54 43 00,276.003,-3.006,7000,15.47,0.40,8.90,,-367.1,4.0,,,,,735,735
vdBergh-Hagen 67,09 26 45,-51 16 00,273.759,-0.375,7400,17.30,0.95,9.08,,-48.4,4.0,,,,,9260,9260
IC 2488,09 27 38,-57 00 00,277.830,-4.419,1134,10.99,0.231,8.113,B8,-87.4,18.0,,,-5.57,+8.00,89,67
ASCC 52,09 27 57,-54 15 35,275.96,-2.41,1500,11.00,0.04,8.75,,-63.1,32.4,,,-5.35,+5.12,72,72
NGC 2910,09 30 30,-52 55 06,275.314,-1.176,2607,13.12,0.336,8.203,,-53.5,4.0,,,,,4,4
Turner 5,09 32 31,-36 28 12,264.23,11.05,400,8.32,0.10,8.49,,76.7,198.0,,,0.00,-3.73,987,987
NGC 2925,09 33 11,-53 23 54,275.936,-1.254,774,9.69,0.08,7.85,,-16.9,10.0,,,-8.94,+5.30,62,37
ASCC 53,09 37 55,-59 32 59,280.56,-5.36,2500,12.45,0.15,8.12,,-233.5,37.2,,,-4.94,+3.94,57,57
NGC 2972,09 40 12,-50 19 24,274.686,1.757,2062,12.63,0.343,7.968,,63.2,3.0,-0.07,,,,14,14
Ruprecht 79,09 40 59,-53 51 00,277.099,-0.818,1979,13.70,0.717,7.093,,-28.3,5.0,,+21.4,,,684,669
Ruprecht 80,09 42 03,-44 01 12,270.75,6.71,2500,12.92,0.30,8.33,,292.1,15.6,,,-13.73,+06.64,15,15
ASCC 54,09 44 45,-54 26 23,277.90,-0.90,1200,10.55,0.05,8.84,,-18.8,26.4,,,-7.73,+1.08,58,58
NGC 3033,09 48 37,-56 25 18,279.596,-2.071,922,10.84,0.327,7.845,,-33.3,4.0,,,,,19,19
Ruprecht 84,09 49 08,-65 15 00,285.32,-8.82,1800,11.59,0.10,8.56,,-276.0,14.4,,,-8.76,+00.88,10,10
NGC 3036,09 49 15,-62 40 11,283.66,-6.83,1200,11.64,0.40,8.61,,-142.7,14.4,,,-7.43,-1.25,15,15
Pismis 16,09 51 16,-53 10 00,277.829,0.689,1824,13.03,0.557,7.839,,21.9,2.0,,+11.0,,,9,9
ASCC 55,09 54 17,-57 04 48,280.61,-2.09,1100,10.80,0.19,8.45,,-40.1,27.6,,,-1.13,+2.27,42,42
Collinder 213,09 54 35,-50 55 11,276.82,2.76,1400,10.95,0.07,8.84,,67.4,18.0,,,-3.96,+02.58,20,20
NGC 3105,10 00 39,-54 47 18,279.915,0.264,4884,16.51,0.989,7.236,,22.5,2.0,,,,,9,9
Ruprecht 85,10 01 33,-55 01 12,280.15,0.16,1400,11.38,0.21,8.70,,3.9,12.0,,,-3.68,+04.78,18,18
NGC 3114,10 02 36,-60 07 12,283.332,-3.840,911,10.01,0.069,8.093,B9,-61.0,35.0,+0.02,+1.00,-7.54,+3.50,167,151
Loden 28,10 03 10,-58 09 00,282.21,-2.21,3950,14.90,0.62,7.30,,-152.3,24.0,,,-8.06,+04.14,49,49
Loden 1,10 05 02,-55 47 59,281.02,-0.17,360,8.09,0.10,9.29,,-1.1,21.6,,,-10.37,+04.18,27,27
Trumpler 12,10 06 29,-60 18 00,283.828,-3.698,,,,,,,4.0,,,,,6,3
Hogg 6,10 06 35,-60 30 00,283.95,-3.85,1600,11.18,0.05,8.61,,-107.4,10.8,,,-8.19,+00.85,9,9
ASCC 56,10 08 13,-64 22 12,286.39,-6.87,800,9.86,0.11,8.08,,-95.7,42.0,,,-7.61,+3.57,81,81
Ruprecht 161,10 08 45,-61 17 24,284.63,-4.34,940,10.15,0.09,8.39,,-71.1,36.0,,,-8.20,+03.04,95,95
ASCC 57,10 10 48,-66 40 48,287.97,-8.59,1500,11.28,0.13,8.70,,-224.0,45.6,,,-4.15,+3.04,76,76
Bochum 8,10 11 54,-58 04 00,283.099,-1.476,2572,13.68,0.526,7.943,,-66.3,4.0,,,,,6,6
ASCC 58,10 15 07,-54 58 12,281.71,1.33,600,9.17,0.09,7.04,,13.9,48.0,,8.00,-12.89,+3.15,114,114
vdBergh-Hagen 91,10 17 16,-58 42 00,284.03,-1.60,740,9.59,0.08,8.21,,-20.7,18.0,,,-6.25,+04.22,28,28
